timestamp,x,y,z,
22520142464,0,-5.75,3.5625,
22520160237,2.8125,-9.75,2.6875,
22520175191,1.375,-7.25,4.625,
22520206443,0.0625,-5.5625,4.5,
22520221462,4,-2.1875,3.3125,
22520236983,0.25,-1.875,4.1875,
22520257739,-5.5,-2.5625,5.75,
22520302693,-4.9375,-3.125,3.625,
22520310548,0.3125,-2.3125,2.75,
22520356878,-3.9375,4.625,1.375,
22520377967,-1.9375,6.875,1.9375,
22520400007,-0.75,-0.0625,1.25,
22520415174,-0.5625,-0.375,2.375,
22520432010,0.25,-0.375,2.25,
22520452541,-0.25,-0.5625,1.875,
22520475099,-1.375,-5.75,4.125,
22520497571,0.5,-1,-0.3125,
22520527713,-0.125,11.3125,-5,
22520550052,2.0625,3.0625,0.0625,
22520579992,-0.9375,1.25,1.0625,
22520602566,2,1.0625,0.0625,
22520625009,3.0625,0.75,-0.5625,
22520655138,1.1875,-0.3125,0.25,
22520662546,1.1875,-0.5,0.5,
22520692561,1.875,0.1875,-0.0625,
22520715166,0.25,0.5,0.9375,
22520737519,2.375,-0.125,0,
22520775070,1.3125,0.6875,-0.6875,
22520797813,3.8125,-0.5625,0.0625,
22520835067,1,1.3125,-2.125,
22520857547,1.4375,1.0625,-2.0625,
22520894932,0.1875,1,-2.6875,
22520917499,-2.625,1.625,-2.3125,
22520955080,1,1.1875,-1.3125,
22520992466,2,1.4375,-1.875,
22521045048,0.5,0.0625,-1.9375,
22521105000,-1.4375,0.8125,1.8125,
22521135001,1.25,-1.4375,1,
22521157517,-0.875,-1.6875,2.6875,
22521202465,2.375,-1.5,2.4375,
22521225036,-0.25,-2.125,3.375,
22521262481,-2.125,-1.5,3.4375,
22521285068,-1.125,-2.8125,2.5,
22521337537,-1.4375,-3.5,1.625,
22521367548,-3.625,-1.9375,0.9375,
22521427704,-3,-3.9375,2.5625,
22521442689,0.125,-2.9375,3.75,
22521487491,1.5625,-2.9375,4.625,
22521495021,1.375,-2.5625,5.75,
22521517575,2.125,-2.625,5.1875,
22521525066,3.375,-1.625,5.5625,
22521570071,1.1875,-2.0625,3.9375,
22521600020,3.6875,-3.875,3.5625,
22521637527,4.6875,-5.5625,2.6875,
22521667570,6.4375,-7.875,4.8125,
22521705085,2.875,-7.625,5.125,
22521719973,2.625,-7.5,4.625,
22521765025,2.3125,-7.4375,7.1875,
22521780212,2.375,-7.75,5.5625,
22521802594,0.625,-4.875,5.0625,
22521825291,3.5,-3,2.5,
22521840154,1.875,-2,3.0625,
22521870046,-2.4375,-0.875,3.5,
22521892724,-1.8125,-1.5,3.25,
22521952480,-2.375,0.125,2.5,
22521967655,-5.125,2.3125,4.125,
22521990010,2,1.375,1.375,
22522005127,0,1.8125,2.75,
22522035123,-5.5,4.375,3.5625,
22522057481,0.625,4,-2,
22522110204,-2.4375,5.3125,-2.875,
22522125062,-5.1875,6.6875,-4.3125,
22522162547,-2.25,4.5625,-4.375,
22522177674,-5.125,4.875,-2.4375,
22522230217,0.6875,6.8125,-4.625,
22522267559,-2.3125,7.9375,-4,
22522282528,-4.375,8.625,-5.625,
22522319979,1,7.375,-5.5625,
22522327789,3.5,5.5625,-5.3125,
22522350227,-0.25,5.4375,-5.875,
22522372753,-2.5625,3.3125,-6.125,
22522379978,0.1875,0.25,-6.4375,
22522402726,0.375,-0.625,-4.375,
22522425046,-4.4375,1.25,-4.125,
22522439987,1.6875,0.5625,-3.75,
22522462698,4.5625,-1.875,-3.375,
22522477755,-3.4375,-0.625,-3.0625,
22522492621,-6.1875,3,-1.4375,
22522515045,2.0625,2,-3.5625,
22522552450,4.625,0.25,-1.625,
22522567564,-2.9375,2.25,0.375,
22522597673,1.5,4.4375,-1.5625,
22522612724,0.9375,1.6875,-1.125,
22522650273,-0.3125,1.625,-0.25,
22522672526,-2.125,4,0.5,
22522687538,-3.4375,4.0625,0,
22522695209,1.375,1.0625,-0.125,
22522717582,1,1.875,0.5,
22522732669,-4.125,0.875,1.6875,
22522755086,0.1875,1.375,0.375,
22522777686,1.625,1.5625,-0.4375,
22522792683,-0.8125,1.4375,2.125,
22522822677,0.0625,0.25,0.9375,
22522844982,0.1875,1.3125,0.6875,
22522867509,-1.375,1,0.9375,
22522890079,-3.75,1.5,2,
22522912735,-9.75,2.25,1.75,
22522920051,-4.6875,1.875,-0.1875,
22522935202,1.75,0.75,-0.125,
22522957554,1.5,2.1875,2.5,
22522980210,1.6875,0.8125,2.625,
22523009927,-3,1.0625,3.1875,
22523032772,2.8125,-1.3125,1.375,
22523040235,0.4375,-1.75,3.1875,
22523055205,-2.9375,-1.0625,3.25,
22523084992,-1.5,-1.8125,3,
22523100279,2.5,-3,3.0625,
