timestamp,x,y,z,
27642679807,2.6875,-3.3125,3.0625,
27642701332,-4.125,-3.5625,1.3125,
27642723984,-2.4375,-2.4375,0.0625,
27642739234,-0.4375,-1.8125,0.6875,
27642764399,1.5625,-1.0625,2.4375,
27642784138,-0.5625,-0.6875,3.1875,
27642799019,-1.0625,0.375,3.5,
27642829340,0.5625,-0.5625,2.375,
27642871522,-0.25,-1.25,2.5,
27642876407,-4.875,-0.125,1.9375,
27642914453,-3.4375,-1,1.9375,
27642941569,0.6875,-1.9375,4.3125,
27642964154,1.6875,-3.625,5.8125,
27643001436,-4.875,-3.5,2.5625,
27643023861,-4.625,-7.0625,2.0625,
27643046630,-9.9375,-7.375,2.25,
27643070918,-9.75,-2.5,4,
27643099276,-0.625,-6.3125,9.125,
27643129118,-5.9375,-5.75,10.4375,
27643144105,-6.9375,-3.875,5.5625,
27643166461,-2.1875,-3.4375,3.3125,
27643181463,-4.625,-4.625,6.0625,
27643190387,-11.125,-2.8125,5,
27643196659,-3.8125,-4.875,7.125,
27643256488,-0.0625,-7.9375,3.5625,
27643286396,-3.125,-3.5625,1.0625,
27643338869,1.75,-7.8125,1.375,
27643361471,0.75,-5.5,2.4375,
27643406328,-2.875,-9,-1.6875,
27643429048,-2.6875,-8,2.0625,
27643488997,-1.6875,-10.125,3.6875,
27643511342,-2.1875,-7.3125,7.8125,
27643526461,-1.75,-8.3125,9.1875,
27643541610,-3.4375,-9.5,5.375,
27643556516,-1.0625,-10.5625,5.0625,
27643578980,-4.125,-7.3125,6.8125,
27643593917,-8.8125,-6.1875,7.5625,
27643616335,-8.0625,-6.375,6,
27643653971,-4.9375,-6.625,6.9375,
27643668846,-1,-7.375,8.4375,
27643699082,-5.625,-7.0625,4.1875,
27643713825,-8.0625,-7.25,2.6875,
27643744093,-8.9375,-5.0625,0.8125,
27643766335,-1.0625,-5.625,-0.75,
27643781611,2.3125,-8.5625,0.5625,
27643796468,1.3125,-7.4375,-4.375,
27643818801,-6.6875,-2.0625,-4.125,
27643833849,-8.375,-2.8125,-5.25,
27643856506,-6.6875,-5,-6.9375,
27643879017,-1.625,-3.125,-2.625,
27643893884,0.4375,-0.3125,-4.4375,
27643916459,-3.375,-0.4375,-5.3125,
27643946567,-2.1875,-0.875,-4.4375,
27643961530,-9.25,3.5,-5.25,
27643983863,-5.875,3.5,-5.4375,
27643999004,2.4375,1.0625,-3.5625,
27644014011,-0.875,1.125,-1.6875,
27644036354,-0.0625,-0.4375,-1.0625,
27644058765,-0.6875,-0.1875,-1.8125,
27644073793,5.3125,-2.125,-0.25,
27644103857,0.1875,-0.875,0.875,
27644126322,2,-1.3125,1.1875,
27644148908,1.5,-1.25,0.1875,
27644163819,4.5625,-4.1875,0.6875,
27644208830,0.1875,-3.6875,1.125,
27644223837,1.875,-3.0625,1.9375,
27644239036,5.875,-7.0625,1.875,
27644261332,0.9375,-6.1875,2.5,
27644276435,-3.4375,-4.6875,2.125,
27644299043,-2.25,-5.9375,-0.3125,
27644321328,-0.375,-6.75,4.1875,
27644343926,-5.9375,-0.9375,4.6875,
27644366472,-5.4375,-2.1875,5.375,
27644381550,-1.9375,-4.1875,2.875,
