timestamp,x,y,z,
21720216004,-0.25,0.1875,1.125,
21720238560,-0.125,1.625,1.3125,
21720254735,4,-9.4375,-0.4375,
21720276437,0,0.4375,-2.3125,
21720299571,-4.625,-0.125,-0.9375,
21720314571,-4.875,-2.4375,-0.625,
21720337252,-0.1875,-0.875,-2.4375,
21720358411,3.6875,0.1875,1.375,
21720403229,0.6875,1.625,0.6875,
21720411015,2.125,-2.0625,3.6875,
21720456084,3.125,-13.5625,6.4375,
21720472375,0.5625,-2.75,1.8125,
21720485911,-1.8125,-2.1875,1.6875,
21720508363,0.1875,-2.3125,2.875,
21720530835,2.375,-2.8125,1.9375,
21720547109,1,0.1875,1.0625,
21720577699,4.25,10.25,-2.375,
21720605785,4.3125,-3.125,1.875,
21720628359,-2.1875,0.5,2.8125,
21720658399,2.125,6.625,2.125,
21720673422,1.8125,-0.875,0.625,
21720689558,0.8125,-2.75,0,
21720696008,0.375,-1.75,-0.3125,
21720718412,1.1875,-0.875,-0.3125,
21720733212,2.5,-0.5,-0.125,
21720749510,1.6875,-2,0.375,
21720755790,1.8125,-0.625,1.3125,
21720793338,-0.6875,-1.25,-0.125,
21720815666,-1.25,-3.6875,-0.6875,
21720853321,-0.5625,0.125,2.3125,
21720883165,-1.625,0.3125,1.375,
21720920875,-3.4375,-1.5,1.6875,
21720935817,-4.6875,-1.25,-0.8125,
21720980716,1.375,-0.1875,1.1875,
21721040847,1.9375,-0.625,0.4375,
21721070716,0.25,0.5625,1.25,
21721100871,1.3125,-0.375,1.0625,
21721123325,3.1875,-0.375,2.375,
21721160865,-0.9375,0.4375,2.6875,
21721183304,1.75,-2.5625,0.9375,
21721220659,-2.9375,0.125,0.75,
21721250817,-2.875,0.5625,0,
21721295750,0.6875,-0.25,1.875,
21721303193,-1.25,1.375,4.0625,
21721325845,-0.75,2,3.125,
21721355834,2.625,0.8125,3.4375,
21721408126,-4.8125,2.5,4.25,
21721430652,0.625,-0.25,5.4375,
21721483113,-0.75,-0.25,3.5,
21721543298,-3.625,-1.4375,2.25,
21721603365,0.9375,0.6875,1.1875,
21721618092,2.625,-0.25,-0.75,
21721655810,-2.5625,2.3125,-1.0625,
21721678376,5.1875,0.6875,-2.1875,
21721738359,1.1875,0.3125,-0.1875,
21721813187,4.4375,-4.9375,-0.625,
21721858156,2,-2.1875,-1.9375,
21721895803,1.5625,1.1875,-1.375,
21721918315,3.1875,2.4375,-0.1875,
21721955615,4.4375,2.25,0.6875,
21721978132,-0.25,2.625,-0.6875,
21722015659,9.5,0.875,-4.125,
21722038260,3.8125,4.0625,1.75,
21722083080,6.25,-0.625,-1.0625,
21722113168,3.75,-0.1875,1.0625,
21722143368,-4.6875,1.0625,5.3125,
21722158317,-8.125,0.1875,1.9375,
21722203358,0.4375,-3.375,-3.125,
21722263119,2.5,-0.5,0.875,
21722300565,-1.8125,-0.3125,0.375,
21722353157,2.375,-2.1875,-0.125,
21722420837,0.3125,-1.5,2.125,
21722473137,2.125,-1.8125,5,
21722518095,0.1875,-4.625,1.8125,
21722563166,-1,-1.875,2.5,
21722585859,2.9375,-4,1.25,
21722638122,-5.0625,-0.5,2,
21722705667,-7.75,3.125,1.9375,
21722728353,-12.5,2.3125,2.3125,
21722765565,-4.1875,3.25,-1.75,
21722795583,-1.9375,2.0625,-1.1875,
21722818131,-1.125,1.9375,-1.3125,
21722840804,-2.875,2.375,-2.625,
21722855909,-3.5625,1.875,-1.8125,
21722878288,-0.5625,3,-1.375,
21722915751,0.5,9.5625,2.875,
21722945781,5.4375,4.5,0.3125,
21722975825,1.875,1.9375,1.375,
21723005761,0,0.25,-0.5625,
21723020819,1.75,-2.125,-1.375,
21723043329,6.1875,-1.6875,-2,
21723058219,-0.125,-1.875,1.1875,
21723073106,0.5,-0.875,-1,
21723103323,6.1875,-4.125,-0.0625,
21723125819,3.125,-3.375,3.5,
21723163211,4.0625,-1.8125,2.8125,
21723178300,1.375,-3.0625,2.8125,
21723193361,-0.0625,-3.125,2.6875,
