timestamp,roll,pitch,yaw,
142706256911,241,23,14,
142706294421,241,23,14,
142706301915,242,23,13,
142706311040,242,23,13,
142706333718,242,23,14,
142706356165,242,23,14,
142706377014,242,23,14,
142706394956,242,23,13,
142706437030,242,23,13,
142706474355,242,23,13,
142706496908,242,23,14,
142706528703,241,23,14,
142706556981,241,23,14,
142706564368,242,23,14,
142706594677,242,23,14,
142706632188,242,22,14,
142706654357,242,22,13,
142706676999,242,22,14,
142706714636,242,22,14,
142706722330,242,22,14,
142706729655,243,22,13,
142706736944,242,22,13,
142706752020,242,22,14,
142706759381,242,22,14,
142706768221,242,22,14,
142706789574,242,22,14,
142706841900,243,22,13,
142706909584,243,22,13,
142706916870,242,22,14,
142706924303,242,21,14,
142706954388,242,21,14,
142706969389,242,21,14,
142706992211,242,21,14,
142707029357,242,21,14,
142707037142,242,21,14,
142707051938,242,21,14,
142707074324,242,21,14,
142707106259,242,21,14,
142707149388,242,21,14,
142707186872,242,21,14,
142707224516,242,21,14,
142707261981,242,21,14,
142707276905,242,21,14,
142707299416,242,21,14,
142707314575,242,21,14,
142707344318,241,21,14,
142707397002,242,21,13,
142707419394,242,21,13,
142707464301,242,21,13,
142707479703,242,21,14,
142707501827,241,21,14,
142707569403,241,21,14,
142707591803,241,21,14,
142707629840,241,21,15,
142707666848,240,21,15,
142707689529,240,21,15,
142707749515,241,21,15,
142707779546,241,21,14,
142707801804,240,21,15,
142707817127,240,21,15,
142707869553,240,21,15,
142707891843,240,21,15,
142707907004,240,21,15,
142707944332,240,21,15,
142708004575,241,21,15,
142708026888,241,21,15,
142708049604,241,21,15,
142708101818,241,21,15,
142708124452,241,21,14,
142708177133,242,20,14,
142708229348,242,20,14,
142708251792,241,20,15,
142708274360,241,20,15,
142708297983,241,20,15,
142708334558,241,20,15,
142708364337,241,20,15,
142708417065,241,20,15,
142708477010,241,20,15,
142708499260,241,20,15,
142708589469,241,20,16,
142708611952,240,20,16,
142708626850,240,20,16,
142708649583,240,20,16,
142708679863,240,20,16,
142708701918,240,20,16,
142708724381,241,20,16,
142708754476,241,20,16,
142708769308,240,20,16,
142708799409,241,20,16,
142708821804,241,20,15,
142708836987,241,20,16,
142708852098,240,20,16,
142708866907,241,20,16,
142708889345,240,20,16,
142708911996,240,20,16,
142708934316,240,20,17,
142708956739,240,21,17,
142708972001,240,21,17,
142708986977,239,20,17,
142709009293,240,21,17,
142709054465,239,21,17,
142709091805,239,20,17,
142709107001,239,20,17,
142709136771,238,20,18,
142709152045,239,21,17,
142709166813,239,20,17,
142709181850,239,20,17,
142709204190,238,20,18,
142709226788,238,21,18,
142709249249,238,21,18,
