timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
22499583009,-47,-81,-111,-111,-107,-66,-23,-37,
22499583009,16,-41,68,98,97,54,-9,-10,
22499590344,91,-38,82,-100,57,85,59,58,
22499590344,-62,78,127,127,127,80,-19,-49,
22499598249,-8,-68,-56,-85,-82,-41,-20,-11,
22499598249,14,33,70,-111,-109,-48,13,16,
22499605342,-49,54,52,122,77,28,-27,-35,
22499605342,8,-100,-88,-118,-121,-67,-45,-18,
22499620713,7,-4,17,51,78,-18,4,23,
22499620713,12,35,-91,67,-59,-21,20,3,
22499627925,-6,-118,-125,-89,-126,-69,-13,15,
22499627925,88,79,19,-113,-117,-54,26,45,
22499643388,-11,63,98,127,92,113,31,6,
22499643388,-64,79,-73,-99,-109,-69,-35,-40,
22499650420,-25,-20,-50,63,121,50,-16,-28,
22499650420,25,-119,-93,71,-118,-17,14,19,
22499673149,113,-43,-15,-33,-51,20,51,69,
22499673149,-76,107,127,33,85,37,-7,-34,
22499680482,-62,-68,-126,-124,-81,-60,-48,-65,
22499680482,45,83,86,81,-55,-85,-26,30,
22499695654,17,119,113,127,110,115,43,-3,
22499695654,-22,-122,-101,-98,-99,-66,-55,-32,
22499702818,-7,-81,-94,-31,-128,-93,-50,-15,
22499702818,55,-79,41,40,-96,-27,66,57,
22499734378,21,-49,104,69,81,68,21,28,
22499734378,-31,-114,-107,-122,-7,16,-29,-33,
22499748044,-32,73,50,104,-128,-82,-7,-6,
22499748044,-4,-1,26,-54,127,36,13,11,
22499762869,-88,102,20,66,31,-10,-31,-38,
22499762869,28,-128,-128,-122,-118,-77,-52,-16,
22499779346,21,6,-23,-69,-64,-28,18,12,
22499779346,-7,-36,12,68,0,9,-12,-1,
22499792998,-60,107,-14,54,-76,-15,-22,-28,
22499792998,-57,58,53,-40,-39,-64,-9,-22,
22499808236,19,-83,-56,-87,-120,-124,-26,10,
22499808236,-7,45,52,122,30,62,26,8,
22499815381,-4,-98,-110,-118,30,-17,-22,-24,
22499815381,45,119,127,115,-61,32,3,15,
22499831773,1,-18,37,-44,-79,-58,3,6,
22499831773,14,-46,47,83,88,85,43,43,
22499845362,12,54,80,-91,-6,25,-9,-15,
22499845362,-8,-15,22,76,12,89,11,-1,
22499852914,7,-39,-44,2,-40,-41,-21,-8,
22499852914,14,29,-67,-128,-128,-128,-24,-7,
22499867932,63,-6,9,101,18,7,49,72,
22499867932,-98,127,103,116,127,124,-20,-72,
22499882934,-16,-53,-47,-62,-33,-1,-19,-34,
22499882934,-6,-19,-16,-78,-69,-29,-26,-18,
22499898071,-51,37,32,127,-3,3,-5,-25,
22499898071,-30,-85,-128,-128,-128,-98,-60,-51,
22499912783,-17,94,112,59,9,18,29,23,
22499912783,29,-86,-128,-97,127,40,0,-12,
22499920337,41,-29,82,70,-45,-11,-7,33,
22499920337,-23,-62,-6,-49,58,44,18,-11,
22499935532,51,-21,41,-112,-29,-51,11,33,
22499935532,-26,119,62,-82,-64,-53,-17,-9,
22499965215,61,61,39,-105,-109,-35,19,41,
22499965215,-55,24,-33,-73,-116,-77,-56,-51,
22499972993,26,-36,-7,70,88,34,33,3,
22499972993,-49,111,113,55,-76,-14,5,-6,
22499980302,14,-73,-76,-35,32,-17,-11,-11,
22499980302,-47,-46,-75,-94,40,18,21,12,
22500010472,-9,119,127,127,-37,4,-3,-20,
22500010472,50,-110,-117,-8,-107,-16,-5,16,
22500025478,60,-111,-106,-38,51,33,13,27,
22500025478,26,28,105,-66,-62,-19,31,30,
22500047894,-9,42,11,49,68,106,31,9,
22500047894,-15,-95,-68,-90,-120,-43,-28,-17,
22500055297,-61,28,8,-61,-81,-63,-42,-46,
22500055297,69,77,59,111,91,104,22,31,
22500062784,0,14,2,-98,-111,-63,-6,-4,
22500062784,-44,-84,33,12,52,-36,-11,0,
22500077795,47,-115,-113,-62,-7,22,4,15,
22500077795,-25,127,104,-21,-94,-64,-25,-4,
22500092944,46,-126,-128,-128,-87,20,26,27,
22500092944,-22,116,127,63,25,51,2,1,
22500115273,13,127,127,127,119,91,46,30,
22500115273,-35,-94,-128,-93,-9,32,-22,-37,
22500130477,46,-31,52,-5,-79,-44,1,27,
22500130477,38,66,77,-85,-85,-71,9,29,
22500137766,-95,127,-9,85,33,-60,-51,-52,
22500137766,34,35,91,119,95,75,-15,-33,
22500167939,-43,-63,-110,-52,-54,7,4,-6,
22500167939,83,-9,66,44,-80,12,10,23,
22500182985,71,-128,-115,-128,4,41,26,49,
22500182985,5,110,127,-13,-46,42,49,38,
22500197831,-32,106,41,-128,-114,-34,-3,-20,
22500197831,-80,57,-63,-12,38,30,-19,-42,
22500205444,41,-23,76,127,-23,34,13,8,
22500205444,-27,80,-78,-5,-36,-1,-17,-17,
22500235334,-1,31,76,99,85,21,4,-1,
22500235334,-27,-102,-81,-90,-86,-70,-25,-37,
22500250386,10,-42,-98,43,-98,-44,9,20,
22500250386,21,-84,-2,-50,-14,-29,-26,12,
22500257738,-21,-8,10,-116,-13,19,-10,-29,
22500257738,53,26,127,109,-24,17,63,48,
22500287751,0,-90,7,41,127,36,-62,-15,
22500287751,5,51,58,11,-128,-102,46,31,
22500302822,27,94,-8,-11,-109,-31,28,54,
22500302822,9,11,-128,-128,-66,-61,-24,-11,
22500317768,31,-71,2,-125,-128,-67,33,36,
22500317768,13,100,127,108,27,6,18,23,
22500340417,-20,-17,-36,-7,14,76,14,-28,
22500340417,20,-128,-25,87,15,23,-6,2,
22500347790,20,-128,-128,-103,-127,-88,-25,4,
22500347790,-2,59,127,112,104,-9,-17,-7,
22500378020,-29,105,10,-74,-76,-36,0,0,
22500378020,-56,39,-1,-2,-36,-41,-65,-58,
22500400229,29,-15,-34,11,-120,-17,54,42,
22500400229,-8,-34,-73,-118,-86,-18,-34,-15,
22500415279,-3,29,91,78,-80,-59,-17,-8,
22500415279,5,-73,-44,-73,-92,10,22,24,
22500430464,90,-115,-104,116,61,62,31,67,
22500430464,-58,127,127,127,102,102,50,-19,
