timestamp,roll,pitch,yaw,
39363184230,188,56,289,
39363214552,188,56,289,
39363241076,188,56,288,
39363244101,188,56,288,
39363267068,188,56,288,
39363301032,188,56,288,
39363304086,188,56,288,
39363329770,188,56,288,
39363349261,188,56,288,
39363387842,188,56,288,
39363401628,188,56,287,
39363454188,188,56,287,
39363469470,189,56,287,
39363484056,189,56,287,
39363500507,189,56,287,
39363523197,189,56,287,
39363536547,189,56,287,
39363559221,189,56,287,
39363584716,189,56,287,
39363598140,188,56,287,
39363619038,188,56,287,
39363641762,188,56,287,
39363664260,187,56,287,
39363686590,187,56,288,
39363701589,186,55,288,
39363710301,186,55,288,
39363731407,186,55,289,
39363776653,185,55,289,
39363799150,185,55,289,
39363821451,185,55,289,
39363851608,185,54,289,
39363874196,184,54,289,
39363903995,184,53,289,
39363926500,184,53,289,
39363941656,184,52,289,
39363964174,184,52,289,
39363994054,184,52,288,
39364008978,184,52,289,
39364054036,184,52,289,
39364084025,184,52,289,
39364106686,184,52,289,
39364121458,184,52,288,
39364144228,184,52,288,
39364166612,184,52,288,
39364181455,184,52,288,
39364204076,184,52,288,
39364226671,184,52,288,
39364241716,184,52,288,
39364263991,184,52,288,
39364286538,184,52,288,
39364324197,184,52,288,
39364368977,183,52,288,
39364414033,183,53,289,
39364444033,184,54,288,
39364473935,184,54,288,
39364511433,184,54,288,
39364526522,184,54,288,
39364564200,184,55,288,
39364586576,184,55,288,
39364631575,184,55,288,
39364653951,184,55,288,
39364684103,184,55,288,
39364714010,184,55,288,
39364759208,183,54,288,
39364774195,183,54,288,
39364826692,183,54,288,
39364864048,183,54,288,
39364886498,183,54,288,
39364931653,184,54,288,
39364991626,184,54,287,
39365006540,185,54,287,
39365044016,185,54,286,
39365066661,184,54,286,
39365103904,184,54,286,
39365119179,184,54,286,
39365141639,184,54,286,
39365164140,184,54,286,
39365186586,184,54,286,
39365216501,184,54,286,
39365239246,184,54,286,
39365261719,184,54,286,
39365276736,184,54,286,
39365299274,184,54,286,
39365321592,184,54,287,
39365344023,184,54,286,
39365366537,183,54,287,
39365396651,183,54,287,
39365419112,183,54,287,
39365456684,184,54,286,
39365471456,184,55,286,
39365493994,185,55,286,
39365516555,185,56,285,
39365554136,185,56,286,
39365576559,185,57,286,
39365599202,185,57,286,
39365613880,185,57,286,
39365629026,185,57,286,
39365643970,186,57,285,
39365666704,186,57,285,
39365688946,185,57,285,
39365704134,185,57,285,
39365718906,185,57,285,
39365741440,185,57,285,
39365756477,185,57,285,
39365778938,185,57,285,
39365801517,185,57,285,
39365816395,185,57,285,
39365839137,185,57,285,
39365869009,185,57,285,
39365883988,185,57,285,
39365921634,185,58,285,
39365936582,185,58,285,
39365958987,185,57,285,
39365981708,185,57,285,
39365996584,185,57,285,
39366018941,185,57,285,
39366041413,185,57,285,
39366056411,185,57,285,
39366078963,185,57,285,
39366101491,185,57,285,
39366116404,185,57,285,
39366139009,185,57,285,
39366161404,185,57,285,
39366176452,184,57,285,
