timestamp,roll,pitch,yaw,
142688249458,232,22,26,
142688264702,232,22,26,
142688289024,232,22,25,
142688302203,232,22,25,
142688332318,232,22,26,
142688356601,232,22,26,
142688369613,232,22,26,
142688386218,232,22,26,
142688400995,232,22,26,
142688422432,232,22,26,
142688452437,232,22,26,
142688491745,232,22,26,
142688519927,232,22,26,
142688579545,232,22,26,
142688617283,231,22,27,
142688639784,232,22,26,
142688669895,232,22,26,
142688744649,232,22,26,
142688797134,232,22,26,
142688872428,233,22,24,
142688910161,233,22,24,
142688932160,233,22,24,
142688939728,233,22,24,
142689029595,233,22,25,
142689052271,233,22,25,
142689089621,233,22,25,
142689104534,233,22,25,
142689179783,233,22,24,
142689254626,233,22,24,
142689277089,233,22,24,
142689292012,233,22,24,
142689307058,233,22,24,
142689374655,233,22,25,
142689389716,232,22,25,
142689427103,232,21,25,
142689442085,232,21,25,
142689464603,232,21,25,
142689479474,232,21,25,
142689487070,233,21,25,
142689547092,233,21,24,
142689569843,233,21,24,
142689607187,233,21,25,
142689622034,233,21,25,
142689637272,233,21,24,
142689674764,234,21,24,
142689719823,234,21,24,
142689749780,234,21,24,
142689787383,234,21,24,
142689847157,234,20,24,
142689877120,234,20,24,
142689892106,234,20,24,
142689914812,234,20,24,
142689969024,234,20,24,
142689989702,234,20,24,
142690034800,234,20,24,
142690109582,234,20,24,
142690139827,234,20,25,
142690184782,234,20,25,
142690192122,234,20,25,
142690282127,234,20,25,
142690312385,234,20,25,
142690342092,234,20,25,
142690402083,234,20,25,
142690477044,234,20,25,
142690484811,234,20,25,
142690619645,234,21,25,
142690694823,235,21,25,
142690754577,233,20,26,
142690792273,233,21,26,
142690859539,233,21,27,
142690904638,233,21,27,
142690934792,232,20,27,
142690987264,233,20,27,
142691114824,233,20,27,
142691211994,233,20,26,
142691249579,233,20,26,
