timestamp,roll,pitch,yaw,
177997886800,181,54,218,
177997915370,182,54,217,
177997930544,182,54,217,
177997953467,181,54,217,
177997968066,182,54,217,
177997983337,183,53,216,
177998013140,183,53,215,
177998030088,183,53,215,
177998082462,183,53,214,
177998088258,185,53,213,
177998155544,185,52,211,
177998170584,185,52,211,
177998178076,185,52,211,
177998215631,186,52,209,
177998268100,186,51,207,
177998365679,189,50,203,
177998440552,188,50,203,
177998569129,189,50,200,
177998575350,190,50,200,
177998613044,190,50,199,
177998628074,189,50,200,
177998688060,190,51,199,
177998748176,189,51,200,
177998778637,188,51,201,
177998793109,187,51,202,
177998807912,187,51,202,
177998837909,187,51,201,
177998867986,187,51,202,
177998890356,186,52,202,
177998935586,186,52,202,
177998965326,185,53,202,
177998987878,186,53,202,
177999018031,187,53,201,
177999040332,186,53,201,
177999070341,188,54,200,
177999100384,187,54,201,
177999122903,188,55,201,
177999152838,187,55,201,
177999167874,187,55,201,
177999220348,188,56,201,
177999242900,188,56,201,
177999287808,187,56,202,
177999325325,187,56,203,
177999340338,187,56,203,
177999347797,187,56,203,
177999370291,187,56,203,
177999415302,187,56,203,
177999430332,186,56,204,
177999445338,187,56,203,
177999490300,186,56,204,
177999520357,186,56,204,
177999557835,186,56,204,
177999595546,186,57,204,
177999602900,186,57,204,
177999692977,186,58,204,
177999715585,187,58,203,
177999737957,186,57,203,
177999752865,186,58,204,
177999782985,187,58,203,
177999805392,187,58,203,
177999828004,186,58,204,
177999835332,186,58,204,
177999880510,187,58,204,
177999902803,187,58,204,
177999910392,187,58,204,
177999932972,187,58,204,
177999970302,187,58,204,
177999992911,187,58,204,
178000008087,186,57,205,
178000022810,187,57,205,
178000030383,187,57,204,
178000052886,186,57,205,
178000082903,185,57,206,
178000097858,185,57,206,
178000112814,185,57,206,
178000127795,185,56,206,
178000203041,185,56,207,
178000292854,188,55,204,
178000307949,188,55,204,
178000352849,189,55,203,
178000450410,188,54,203,
178000465623,189,54,203,
178000487830,188,54,203,
178000540348,191,53,200,
178000570342,190,53,200,
178000615451,191,53,200,
178000660444,191,53,200,
178000682983,192,53,199,
178000712804,191,54,199,
178000772873,193,54,197,
178000795502,193,53,197,
