timestamp,roll,pitch,yaw,
107448565607,223,17,228,
107448587873,222,17,229,
107448603036,222,17,229,
107448628645,223,17,228,
107448648076,222,17,229,
107448663093,222,17,228,
107448697711,223,18,228,
107448709689,222,18,229,
107448760400,222,18,229,
107448768351,222,17,228,
107448805436,222,17,228,
107448820514,222,17,228,
107448842884,223,17,227,
107448867241,223,17,227,
107448910357,223,17,227,
107448977952,223,17,227,
107449090564,223,18,227,
107449142913,222,18,227,
107449152563,222,18,228,
107449172854,222,18,227,
107449195494,222,17,228,
107449217903,221,18,228,
107449240389,221,17,228,
107449262897,220,18,229,
107449292913,220,17,229,
107449307812,220,17,229,
107449322873,220,18,229,
107449337895,220,18,230,
107449360370,220,18,230,
107449390379,220,18,229,
107449435428,219,18,230,
107449450393,219,18,230,
107449472855,219,17,230,
107449480484,220,17,229,
107449495466,220,17,229,
107449517835,221,17,228,
107449540370,221,17,228,
107449555295,221,18,227,
107449577838,222,17,227,
107449622803,222,17,227,
107449637847,221,17,227,
107449667855,221,17,227,
107449682795,221,17,228,
107449712814,221,17,228,
107449727800,220,17,228,
107449750249,220,18,229,
107449772808,220,18,229,
107449787822,220,18,229,
107449802907,220,18,229,
107449817792,220,18,229,
107449840377,221,18,228,
107449862826,221,18,228,
107449877818,221,18,227,
107449900387,222,18,227,
107449930377,222,18,226,
107449945394,222,18,226,
107449960751,222,18,226,
107449997918,222,17,226,
107450012887,222,17,226,
107450027923,222,17,226,
107450042778,222,17,226,
107450057795,222,17,226,
107450080303,221,17,227,
107450102853,222,17,227,
107450125295,221,17,227,
107450155624,221,17,227,
107450192909,222,18,226,
107450207817,221,18,227,
107450245445,222,17,226,
107450282911,222,17,226,
107450305329,222,17,226,
107450327904,222,17,226,
107450358109,223,18,225,
107450380325,222,18,226,
107450402846,222,18,226,
107450418108,222,18,226,
107450440624,222,18,226,
107450470724,221,18,227,
107450485399,221,18,227,
107450507789,221,18,227,
107450522794,220,18,227,
107450537778,220,18,228,
107450568105,220,18,227,
107450598160,220,18,228,
107450620675,220,18,228,
107450635620,220,18,227,
107450650604,220,18,228,
107450665440,220,18,228,
107450680371,220,18,227,
107450702885,220,18,227,
107450717740,220,18,227,
107450740387,220,18,228,
107450777849,220,18,228,
107450800433,220,18,227,
107450822836,220,18,228,
107450845496,220,18,227,
107450868129,220,18,227,
107450890425,220,18,227,
107450905447,220,18,227,
107450920396,219,18,228,
107450942986,220,18,227,
107450965320,220,18,227,
107450980342,219,18,227,
107451002816,219,17,228,
107451025403,219,17,228,
107451047857,219,17,228,
107451070301,219,17,228,
107451100320,219,17,227,
107451130328,218,17,228,
107451153073,219,17,228,
107451175417,219,17,228,
107451212810,218,17,228,
107451227834,219,17,228,
107451242875,218,17,228,
107451265611,219,17,228,
107451280427,219,17,228,
107451302799,218,17,228,
107451333120,218,17,228,
107451355558,218,17,228,
107451408114,217,17,229,
107451430377,216,17,230,
107451445295,217,17,229,
107451460610,218,17,228,
107451483088,217,17,229,
107451512997,217,17,229,
107451527831,217,17,228,
