timestamp,x,y,z,
39765110404,-3.5,4.5625,-5.125,
39765130144,-3.75,3.375,-4.375,
39765147999,-2.6875,3.125,-4.5625,
39765163004,-3.125,3.125,-3.5625,
39765188512,-3.75,2.875,-4,
39765211102,-4.875,2.0625,-4.4375,
39765223232,-4.5,2.1875,-3.6875,
39765277281,-1.875,1.875,-3.375,
39765286537,-2.25,1,-3.75,
39765328070,-2.25,0.4375,-3.6875,
39765358254,-3.3125,0.875,-2.5,
39765387944,-2.3125,-0.375,-3.0625,
39765402999,-3.5625,-1,-3.0625,
39765434491,-2.125,-0.375,-3.125,
39765455578,-2.625,-1.375,-2.5,
39765478033,-1.125,-0.625,-1.6875,
39765502438,-1.625,-1.5,-2,
39765523413,-0.75,0.125,-1.0625,
39765545437,-0.0625,-0.5625,-1.1875,
39765575840,-0.6875,-1.625,-0.5,
39765597964,-0.25,-1.8125,-0.1875,
39765629238,-1.1875,-2.125,-0.125,
39765635616,-0.375,-2.0625,-0.5,
39765672980,-0.6875,-1.0625,-1,
39765695482,-0.4375,-0.5,0.125,
39765718019,-1.125,-1.1875,-0.625,
39765747827,-3.0625,-1.9375,-0.0625,
39765763017,-1.875,-3,-1.0625,
39765778019,-2,-2,-0.6875,
39765800539,-0.125,-0.875,-0.5625,
39765815372,-1.125,-1.4375,-0.5625,
39765838003,-1.5625,-1.75,-0.75,
39765860526,-0.3125,-0.9375,-0.8125,
39765882838,-1.5,-0.5625,0,
39765905315,-1.8125,-0.375,-0.125,
39765928019,-1.1875,0.6875,-0.0625,
39765935538,-0.8125,0.25,-0.0625,
39765958022,-1.25,0.375,0.0625,
39765980319,-0.9375,1.625,-0.5,
39765995332,-0.5625,1.6875,-1.125,
39766017811,-0.5625,1.625,-1.1875,
39766040558,0,1.25,-2.125,
39766055387,-1.625,1.5625,-1.9375,
39766078029,-0.25,1.5,-2.375,
39766107791,-1,0.3125,-3.4375,
39766123073,-1.375,0.25,-3.1875,
39766160334,0.375,0,-3.5625,
39766175418,0.125,-1.75,-3.5625,
39766190535,-0.0625,-2.8125,-2.375,
39766205349,-0.1875,-3.4375,-1.625,
39766220316,-0.75,-2.625,-1.9375,
39766235540,-0.25,-1.625,-3.9375,
39766257885,0.625,1.625,-4.375,
39766302856,0.125,3.75,-5.5625,
39766317783,2,5.0625,-5.5625,
39766347885,2.125,7.1875,-3.125,
39766362989,1.0625,7.5625,-1,
39766378060,-2.3125,6.125,-1,
39766400520,-3.625,4.75,-1.5625,
39766415332,-4.0625,2.5625,-1.625,
39766438081,-4.375,1.6875,-2.125,
39766460306,-2.625,2.4375,-1.8125,
39766475366,-2.875,0.875,-1.4375,
39766497852,-3.3125,-0.1875,-0.5625,
39766520411,-4.75,-1.125,-0.5,
39766543068,-5.125,-1.5,0.1875,
39766565473,-5.1875,-1.75,0.75,
39766595373,-2.9375,-0.625,-1.5,
39766617981,0.4375,-1.9375,-3.25,
39766640384,3.25,-2.25,-5.3125,
39766662832,3.3125,-2.125,-5.375,
39766678067,1.4375,-2.0625,-5.25,
39766700518,0.6875,0,-4.5,
39766723039,1.25,-1.5625,-5.3125,
39766745323,1.0625,-2.3125,-5.25,
39766768013,0.3125,-1.5,-5.1875,
39766790610,-1.75,-2.625,-5.75,
39766797845,-1.5625,-2.5,-5.1875,
39766820505,-0.3125,-1.1875,-4.5625,
39766842882,-0.6875,-0.3125,-4.0625,
39766865404,-1,-0.0625,-4.375,
39766887946,-1.25,-1.1875,-5.375,
39766902988,0.5,-3.4375,-7.625,
39766917756,2.1875,-5.25,-12.5625,
39766940530,0,-3.5,-13.6875,
39766962884,-0.5625,0.9375,-11.5,
39766977924,-1.125,7,-8.375,
39767000632,-2.75,12.1875,-6.75,
39767022805,-2.8125,14.9375,-4.5,
39767038012,-1.625,13.5625,-3,
39767060367,-0.8125,12.625,-1.5625,
39767082872,-1.875,11.8125,0.0625,
39767128068,-8.9375,8.9375,4.125,
39767150539,-10.1875,7.125,4.9375,
39767180370,-12.5,3.4375,4.5,
39767203111,-13.6875,1.25,3.8125,
39767240492,-14.125,-1.9375,0.4375,
39767270420,-13.8125,-3.875,-0.9375,
39767307779,-13.5,-4.75,-4.625,
39767322897,-12.6875,-5.3125,-5.3125,
39767375372,-10.3125,-2.3125,-5.3125,
39767405326,-9.375,0.8125,-4.75,
39767443112,-5.6875,2,-3.9375,
39767487823,-6.0625,0,-3.4375,
39767510379,-6.3125,0.1875,-2.625,
39767540535,-7.8125,-0.375,-2,
39767570589,-5.875,-0.4375,-2.3125,
39767622754,-4.5,-1.3125,-1.25,
39767667820,-5.3125,0.625,0.5,
39767690418,-3.1875,0,-0.0625,
39767720315,-3.3125,0,0.5625,
39767742799,-2.625,0.3125,0.3125,
39767780434,-2.4375,0,1,
39767802807,-2.3125,-0.5,1,
39767840531,-2.25,-0.4375,0,
39767862797,-0.4375,-1.25,-0.5,
39767900563,-0.3125,-1.5,-0.75,
39767922846,-0.75,-1.375,-1.3125,
39767960537,-0.9375,-0.8125,-1.5625,
39767982957,-0.4375,-1.4375,-1.75,
39768020527,0.125,-0.5625,-1.8125,
39768050595,-0.6875,-1.0625,-2.5625,
39768103035,-1.0625,-0.5625,-3.5625,
