timestamp,x,y,z,
88431719449,4.0625,-6.5,10.3125,
88431732446,-4.5,-5.625,0.25,
88431756473,-8.125,-6.75,2.875,
88431771721,2.5625,-7.8125,4.5625,
88431807505,9.8125,-4.125,3.5625,
88431816272,3.8125,-8.4375,1.75,
88431831940,-0.9375,-9,-2.25,
88431859942,-1.6875,-4.625,-0.25,
88431890069,6.0625,-6.125,1.875,
88431898757,6.875,-6.9375,1.125,
88431912615,0.25,-6.4375,-3.5,
88431949910,-4.5625,-8.125,-4.1875,
88431973759,-0.75,-7.125,-2.5625,
88432024825,5.8125,-5.75,-0.0625,
88432092319,-9.25,-8.1875,-1.875,
88432137529,-6.875,-7.875,-3.25,
88432227379,-1.9375,-7.625,0.6875,
88432279943,3,-7.625,0.0625,
88432309841,-9.0625,-6.0625,0.5,
88432587399,0.9375,-2.6875,-0.0625,
88432647263,-1,-1.1875,-1.25,
88432729789,0.6875,-2,1.875,
88432744798,-3.875,-1.625,-4.25,
88432767276,-6.5625,-0.875,-2.8125,
88432804807,3.3125,0.25,-0.375,
88432812290,4.625,-1.1875,-1.4375,
88432842225,2.25,-0.375,-0.5625,
88432864770,0.8125,-0.6875,1.4375,
88432917274,2.625,-1.5,-1.625,
88432939748,8.75,-2,0.125,
88432962234,5.5,-0.25,-2.5,
88432984825,-2.5,-2.0625,-0.75,
88432999789,4.5625,-0.3125,1.5625,
88433022290,1.5,-0.4375,0.0625,
88433044748,-0.3125,-1.875,-2.4375,
88433089745,-4.1875,1.125,-2.3125,
88433119765,2.625,0.8125,1.1875,
88433127296,5.25,1.0625,1.4375,
88433164841,5,-0.0625,0.5625,
88433202240,-7.5,1.0625,-4.25,
88433224746,-0.875,0,-0.875,
88433239795,7.4375,3.4375,0.6875,
88433299802,-0.9375,1.5,-1.5625,
88433337274,2.5625,2.8125,-0.4375,
88433367273,-3,1.75,-1.75,
88433442234,7,1.4375,0.3125,
88433449773,4.5,-0.5,-0.125,
88433479756,-8.4375,0.125,-5.0625,
88433524838,-4.9375,-2.1875,0.3125,
88433614812,3.8125,-0.0625,1.3125,
88433719793,2.9375,-1.9375,-3,
88433749783,-5.5,-0.0625,-2.625,
88433794732,0.9375,0.375,-0.75,
88433809755,-5.875,-0.25,-0.875,
88433877242,2.6875,-4.5,-3.375,
88433952296,3.9375,-5.0625,-2,
88434019935,3.375,-6.125,-5.5625,
88434034835,7.1875,-4.5625,-0.1875,
88434079987,-0.625,-4.25,-4.625,
88434117308,-13.75,-5.25,-4.9375,
88434140070,-2.25,-3.6875,-3.5,
88434162443,22.625,-1.875,2.625,
88434169874,11.375,0.0625,1.6875,
88434199986,-7.25,-2.9375,-0.5,
88434229970,-3,-3.5625,-6.0625,
88434267297,13.875,-0.5,1.75,
88434297510,7,-1.1875,0.25,
88434312251,-13.1875,-4.8125,-2,
88434319810,-7.0625,-3.6875,-6.4375,
88434364907,7.3125,-3.5625,-1.25,
88434387276,13.25,-2,-0.3125,
88434447553,-2.6875,-1.4375,-0.3125,
88434499969,3.8125,-1.625,-1.625,
88434515056,-1.125,-3.625,-2,
88434559986,6.5625,-3.75,-0.9375,
88434604796,-4.8125,-5.125,1.5,
88434664901,0.0625,-3.875,2.5625,
88434680029,3.375,-2.6875,-1.0625,
