timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
106778519547,8,10,-11,-38,-29,42,51,17,
106778519547,9,-2,-29,11,20,-41,-16,-2,
106778549658,6,4,7,23,66,37,13,0,
106778549658,-8,-9,27,-14,-65,-11,-36,-16,
106778557210,-5,13,-29,-9,23,16,-2,-8,
106778557210,16,16,79,11,-41,-3,13,17,
106778579499,-15,-6,-38,11,1,-4,-22,-13,
106778579499,-6,-7,-2,-8,-10,-17,11,2,
106778602186,28,15,27,21,22,7,-14,-6,
106778602186,-56,-12,-44,-12,-22,9,-5,-14,
106778609472,-13,-12,-3,51,-18,-12,3,-7,
106778609472,18,23,26,-68,31,25,19,6,
106778617018,-13,-8,-42,-75,6,-8,-16,-12,
106778617018,1,2,54,18,25,13,4,10,
106778624517,-6,6,35,-7,-7,-7,22,-3,
106778624517,14,2,5,-48,-31,-19,-31,-3,
106778632007,-8,-16,-61,-55,32,-8,-24,-7,
106778632007,-6,-7,76,48,-52,-7,23,-4,
106778641565,-7,-6,8,26,-47,-3,8,-6,
106778641565,-15,-4,-51,-11,11,8,-14,-10,
106778655812,7,-26,-42,-97,31,1,9,14,
106778655812,-6,-4,-1,108,43,-38,16,-8,
106778669481,-6,-8,-32,-2,13,24,-11,-8,
106778669481,14,12,14,-24,-33,0,17,7,
106778686453,24,9,45,-23,-34,6,0,4,
106778686453,-1,14,-37,19,-8,6,11,11,
106778699475,-7,1,103,-16,-3,-10,-26,-3,
106778699475,-31,-14,-79,-20,17,8,-10,-18,
106778714498,-8,-18,37,26,-20,-10,2,4,
106778714498,22,46,51,24,56,20,14,6,
106778723545,1,-10,-15,-75,7,10,-3,9,
106778723545,-4,-38,-44,10,-75,6,-17,-19,
106778736967,9,12,6,12,29,13,15,-6,
106778736967,17,-3,15,-59,-17,26,4,23,
106778753491,-10,13,4,-4,-8,31,-4,3,
106778753491,39,-10,-19,-4,21,0,25,17,
106778759550,15,-16,-28,-16,43,-10,0,16,
106778759550,-16,-1,-56,10,-25,-25,-23,-13,
106778774460,-2,-24,-1,22,-17,33,15,11,
106778774460,-11,-7,10,-34,18,-49,-33,-13,
106778789744,27,54,79,12,-12,-3,5,11,
106778789744,24,-6,-24,28,-10,28,2,-2,
106778798946,-43,13,13,-51,32,0,17,-24,
106778798946,3,-27,-39,67,1,13,-4,-5,
106778819830,-24,-18,-35,-21,-33,-34,5,3,
106778819830,-10,-19,-41,-122,-79,2,-25,-10,
106778827234,27,-22,-69,109,61,7,14,14,
106778827234,8,35,127,-40,-13,30,25,10,
106778843391,21,21,18,2,-13,-25,-10,10,
106778843391,16,7,-27,-11,15,44,3,8,
106778857082,-9,-34,-51,-33,-49,-15,4,0,
106778857082,-26,-14,55,-4,-15,-11,-7,-18,
106778864452,-11,15,41,0,-9,2,14,11,
106778864452,1,-5,6,-24,19,-7,-32,-23,
106778872047,7,3,-48,-10,-18,-4,-12,0,
106778872047,26,22,0,22,63,47,16,17,
106778879441,-48,-14,20,28,-5,-39,-19,-17,
106778879441,31,10,-36,-19,-9,-15,24,19,
106778888543,10,0,-42,-63,-9,30,26,22,
106778888543,-33,-37,-5,4,12,10,-22,-29,
106778909504,-14,23,29,24,28,12,9,6,
106778909504,28,24,94,-20,-28,-4,3,19,
106778916797,-13,-28,-87,11,19,-4,-34,-8,
106778916797,10,0,-6,-31,-18,-27,2,-1,
106778931892,-5,-7,2,9,-6,8,9,-7,
106778931892,-10,12,35,63,31,15,-7,5,
106778939470,12,49,123,3,7,9,10,10,
106778939470,21,-26,-79,0,-21,7,-3,7,
106778946819,-51,-35,-35,-42,-11,-24,-17,-32,
106778946819,10,-16,-100,-94,-26,-1,4,1,
106778954490,-3,-6,37,109,-9,-14,4,-16,
106778954490,5,8,53,-9,18,-5,-6,14,
106778969505,-13,23,16,-5,-37,-22,17,7,
106778969505,7,-25,-38,-28,91,10,-3,-10,
106778977025,10,-3,-45,58,-9,-15,20,12,
106778977025,13,20,50,7,11,-27,-3,-4,
106778991964,-12,-3,-15,-35,-8,46,-10,-5,
106778991964,-3,-7,-50,60,-52,-18,-8,3,
106778999552,-19,-10,-10,-77,44,-22,0,-4,
106778999552,18,16,12,21,-25,7,-5,-4,
106779022107,3,2,52,52,17,-7,-9,7,
106779022107,-54,1,7,25,-4,-42,8,-23,
106779036949,3,-23,-31,-66,-40,20,12,5,
106779036949,-6,-23,-101,0,2,15,3,-3,
106779044420,25,26,57,6,30,6,-5,-1,
