,roll,pitch,yaw,count
"myo1,1kg_1",217.0,76.0,193.0,101.0
"myo1,1kg_2",215.0,83.0,193.0,73.0
"myo1,1kg_3",212.0,90.0,202.0,104.0
"myo1,2kg_1",206.0,62.0,183.0,116.0
"myo1,2kg_2",208.0,76.0,184.0,98.0
"myo1,2kg_3",205.0,76.0,187.0,120.0
"myo1,3kg_1",209.0,78.0,112.0,117.0
"myo1,3kg_2",217.0,69.0,103.0,100.0
"myo1,3kg_3",222.0,59.0,99.0,99.0
"myo1,4kg_1",223.0,53.0,61.0,117.0
"myo1,4kg_2",223.0,56.0,60.0,103.0
"myo1,4kg_3",221.0,63.0,60.0,130.0
"myo1,5kg_1",222.0,45.0,167.0,127.0
"myo1,5kg_2",217.0,30.0,168.0,129.0
"myo1,5kg_3",227.0,28.0,162.0,136.0
"myo1,6kg_1",242.0,42.0,284.0,106.0
"myo1,6kg_2",239.0,30.0,71.0,118.0
"myo1,6kg_3",233.0,29.0,73.0,125.0
"myo2,1kg_1",204.0,84.0,69.0,100.0
"myo2,1kg_2",204.0,91.0,33.0,96.0
"myo2,1kg_3",201.0,97.0,10.0,84.0
"myo2,2kg_1",194.0,69.0,176.0,118.0
"myo2,2kg_2",197.0,83.0,174.0,113.0
"myo2,2kg_3",194.0,82.0,175.0,115.0
"myo2,3kg_1",196.0,85.0,190.0,90.0
"myo2,3kg_2",203.0,76.0,172.0,108.0
"myo2,3kg_3",206.0,67.0,157.0,122.0
"myo2,4kg_1",207.0,62.0,240.0,131.0
"myo2,4kg_2",208.0,65.0,209.0,108.0
"myo2,4kg_3",206.0,71.0,177.0,100.0
"myo2,5kg_1",205.0,54.0,169.0,98.0
"myo2,5kg_2",195.0,41.0,168.0,89.0
"myo2,5kg_3",204.0,37.0,162.0,101.0
"myo2,6kg_1",206.0,152.0,119.0,97.0
"myo2,6kg_2",215.0,38.0,75.0,97.0
"myo2,6kg_3",210.0,39.0,43.0,107.0
"myo3,1kg_1",195.0,185.0,80.0,116.0
"myo3,1kg_2",196.0,186.0,80.0,90.0
"myo3,1kg_3",192.0,185.0,81.0,104.0
"myo3,2kg_1",188.0,176.0,144.0,124.0
"myo3,2kg_2",188.0,175.0,119.0,132.0
"myo3,2kg_3",186.0,174.0,89.0,123.0
"myo3,3kg_1",191.0,181.0,72.0,116.0
"myo3,3kg_2",195.0,178.0,72.0,117.0
"myo3,3kg_3",198.0,170.0,76.0,88.0
"myo3,4kg_1",196.0,164.0,80.0,121.0
"myo3,4kg_2",195.0,157.0,77.0,113.0
"myo3,4kg_3",194.0,163.0,77.0,115.0
"myo3,5kg_1",193.0,151.0,311.0,102.0
"myo3,5kg_2",190.0,152.0,277.0,102.0
"myo3,5kg_3",192.0,138.0,247.0,128.0
"myo3,6kg_1",271.0,40.0,146.0,115.0
"myo3,6kg_2",194.0,135.0,222.0,116.0
"myo3,6kg_3",191.0,136.0,180.0,98.0
