weight,trial,C1,C2,C3,C4,C5,C6,C7,C8
1,0,2.9341449700330746,4.238066887122039,7.98824106732322,7.2346341292125675,5.124718059702276,2.6369923752796502,1.7766306338224693,2.4894486252509265
1,0,3.3476809061362727,5.115103507452919,9.575775596974985,7.484694301834859,4.5299375421123536,2.7472582409492605,1.7881392276882224,2.8145676663812793
1,0,2.624725548523355,4.426495385927454,8.730090447593426,7.915396377805414,4.427846976327622,2.2377834970818267,1.561045853978202,2.4669901787798
1,0,2.766127997619242,4.745930416472942,9.300022399967386,8.264107909043057,4.509490377273963,2.333658933533067,1.6296736614748693,2.62187194808113
1,0,2.696241142236731,5.174434476416003,9.530479203780871,8.49460618983069,4.685943611292483,2.54993323177968,1.5055731861146529,2.607735179934791
1,0,3.008482594001278,5.892734123312371,10.47139824540757,8.946082321106443,4.5168545287775554,2.7988739485453538,1.6230450282166369,2.914046990544053
1,0,2.80189562839448,5.076763179305612,9.584606779839286,8.467436399157926,5.0702050912470575,2.6918704541292486,1.5671730759985136,2.680447179874542
1,0,2.79046056264565,5.349298626891328,10.018636574672646,8.531078466018863,4.84706996687342,2.653553376352161,1.462500140010133,2.6290091083235763
1,0,2.696693153438974,5.448820507602925,10.153101025279039,9.615900086487294,4.671655697367758,2.543641955905281,1.3746680510598766,2.5193508554286885
1,0,2.788151463792955,5.501485054638435,9.825752939193583,9.01300150615653,5.351223719806855,2.459772579961218,1.4119895377498355,2.3938624098978694
1,0,2.8601502177603164,5.49187266061118,10.406198501079297,8.636956047955826,5.010405260432779,2.662633062061219,1.4850109879312463,2.67807570490906
1,0,3.0113170518139203,5.541478704854115,10.76283066939643,8.618875577903275,5.3087656483776895,2.8461785265777255,1.5115032242452089,2.982247297029676
1,0,3.0330043977294796,5.069952350615889,10.07324353678327,8.06234720586277,4.38503520462602,2.638678179482481,1.4494180827550516,2.531443358490454
1,0,2.863576715657125,4.823071704564231,9.402006157939766,8.21599525308612,4.5025980203974525,2.6031398271777735,1.4016003967003532,2.5611818865459823
1,0,2.7320397913109344,4.7638382562414545,9.067583619993167,8.218905287271582,4.760655278985107,2.5720583536985524,1.3600000061097384,2.5422964306082987
1,0,2.6833717768866134,5.075738441650005,9.722911771961517,8.104520385754688,4.976036644839158,2.6378032080137896,1.4278515015048256,2.6410570296777847
1,0,2.8092972189518064,5.452473437327686,10.966388283598832,9.545356437430037,5.366056353647705,2.491686121669741,1.5821904623559364,2.7813957335425505
1,0,2.819790097861006,5.3299280019249435,10.316249577265024,9.213595330860263,5.967166043984553,2.57023476259206,1.7344341244116035,2.5746257676919435
1,0,2.7753756824322,5.168503596293542,10.334853743967146,9.436814937882879,6.151459562715173,2.627305848441861,1.7585075235157552,2.5353590489936226
1,0,2.6911654922766277,5.561641940001717,10.749727505834999,9.974163540434374,6.128502671770383,2.7801400170516852,1.5957838043782226,2.6780340666935376
1,0,2.801960852550102,5.584214329981587,9.89949446596609,9.999877904716435,6.951709776410989,2.9569607837821428,1.5440586761654618,2.846184772175865
