timestamp,x,y,z,
22534059963,0.875,0.441406,-0.0268555,
22534076538,0.855957,0.45752,-0.0283203,
22534090021,0.835938,0.46582,-0.0180664,
22534143350,0.853027,0.474121,-0.0146484,
22534195274,0.867676,0.476562,-0.0283203,
22534203001,0.842773,0.447754,-0.027832,
22534217573,0.820312,0.453613,-0.0283203,
22534247486,0.835449,0.441406,-0.0126953,
22534254914,0.853516,0.441406,-0.0366211,
22534284875,0.88916,0.444824,-0.0234375,
22534300171,0.853027,0.457031,-0.0209961,
22534307608,0.847656,0.473633,-0.0239258,
22534314926,0.866211,0.459961,-0.034668,
22534337513,0.878906,0.459473,-0.0297852,
22534360145,0.850098,0.462402,-0.034668,
22534367407,0.849121,0.449219,-0.012207,
22534384538,0.870117,0.441895,-0.0229492,
22534390158,0.868652,0.465332,-0.0297852,
22534428844,0.866699,0.45166,-0.0136719,
22534451284,0.846191,0.445312,-0.00878906,
22534479860,0.848145,0.475098,-0.0107422,
22534517505,0.87207,0.441406,0.000976562,
22534532571,0.84082,0.449707,-0.0239258,
22534562410,0.862305,0.458496,0.000488281,
22534585098,0.869141,0.441895,-0.0239258,
22534615127,0.855469,0.445801,-0.027832,
22534705124,0.861328,0.464844,-0.00195312,
22534749838,0.862305,0.441406,-0.0263672,
22534817607,0.849609,0.434082,-0.0175781,
22534840080,0.866699,0.443848,-0.0136719,
22534862373,0.851074,0.435059,-0.027832,
22534877513,0.870605,0.456055,-0.0078125,
22534914870,0.849609,0.446289,-0.0361328,
22534930189,0.85498,0.463867,-0.00537109,
22534944838,0.871094,0.445801,-0.0151367,
22534967358,0.851562,0.442871,-0.0424805,
22535042571,0.862793,0.456055,-0.0307617,
22535095033,0.846191,0.42334,-0.00976562,
22535184984,0.86377,0.461426,-0.0239258,
22535207377,0.887695,0.409668,-0.0185547,
22535252289,0.870605,0.453125,-0.0341797,
22535282365,0.871582,0.428223,-0.0390625,
22535319879,0.87793,0.432617,-0.0380859,
22535334912,0.874512,0.452637,-0.0507812,
22535372577,0.883789,0.428223,-0.0161133,
22535417376,0.867188,0.425293,-0.0356445,
22535447521,0.871582,0.428223,-0.050293,
22535469841,0.860352,0.408691,-0.0405273,
22535499877,0.865234,0.421875,-0.0263672,
22535529869,0.869141,0.427246,-0.0400391,
22535545000,0.871582,0.43457,-0.0244141,
22535604948,0.87207,0.431152,-0.0605469,
22535635013,0.864746,0.427734,-0.0454102,
22535672486,0.833984,0.421875,-0.03125,
22535747448,0.893555,0.443848,-0.0166016,
22535800095,0.856934,0.427734,-0.0375977,
22535859903,0.844238,0.438477,-0.0385742,
22535890079,0.857422,0.436035,-0.0351562,
22535934934,0.875977,0.440918,-0.046875,
22535994959,0.855957,0.446289,-0.0332031,
22536017267,0.875977,0.428711,-0.0239258,
22536054848,0.860352,0.430664,-0.0478516,
22536077548,0.859375,0.462402,-0.0439453,
22536137406,0.86084,0.420898,-0.0371094,
22536152407,0.851562,0.42627,-0.0415039,
22536197536,0.856445,0.43457,-0.0463867,
22536317525,0.866211,0.455566,-0.0375977,
22536384816,0.862305,0.405273,-0.0356445,
22536467514,0.848145,0.434082,-0.0473633,
22536602333,0.860352,0.449219,-0.0698242,
22536654805,0.885742,0.450684,-0.0180664,
22536692540,0.86084,0.478027,-0.0576172,
22536760005,0.853027,0.42041,-0.0307617,
22536819868,0.850586,0.438477,-0.050293,
22536864833,0.869629,0.450195,-0.000976562,
22536902334,0.833984,0.422852,-0.0654297,
22536969833,0.878418,0.462891,-0.0410156,
22536999829,0.882324,0.436035,0.00732422,
22537044761,0.869629,0.477539,0.0151367,
