timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
87253193707,-16,-5,-61,-111,-59,-13,-5,-12,
87253193707,-19,-54,-64,-117,0,-3,-8,-11,
87253201220,10,-9,38,81,79,21,9,15,
87253201220,-2,-21,-38,22,58,19,12,7,
87253208640,-3,38,-25,-57,-47,-29,-17,-21,
87253208640,1,44,31,-39,-38,-19,-7,-4,
87253216176,-4,-33,-52,-41,-40,-8,-2,0,
87253216176,-4,-17,-12,-90,-33,-9,2,0,
87253232609,2,-22,2,2,33,8,1,6,
87253232609,6,-2,-15,-48,1,17,10,5,
87253238866,4,-12,18,92,5,-13,-2,-4,
87253238866,-26,-33,-87,-78,-27,-13,-15,-19,
87253253903,10,68,75,102,52,25,8,8,
87253253903,-2,24,65,47,20,-5,-15,-5,
87253261200,-19,-41,-83,-114,-15,10,1,-5,
87253261200,24,81,101,40,-1,3,17,18,
87253284202,22,-63,12,-31,-19,-6,12,19,
87253284202,-33,-26,-82,-36,-30,-17,-20,-32,
87253292816,21,9,-10,21,-31,-3,12,17,
87253292816,-14,-64,-102,-128,-42,-23,-29,-27,
87253298854,-14,31,-2,117,28,6,-4,-2,
87253298854,43,56,127,127,98,40,39,51,
87253306240,-38,-31,-128,-128,-44,-5,-21,-34,
87253306240,16,94,74,68,17,-2,3,2,
87253336286,7,-62,37,-5,-5,-1,2,10,
87253336286,-21,-20,-128,-74,-47,-31,-21,-31,
87253346831,12,22,44,105,33,-1,2,1,
87253346831,2,15,26,-58,29,21,1,6,
87253351425,-9,15,-5,-14,-5,-8,-6,-1,
87253351425,-2,-46,41,55,1,-4,0,0,
87253360810,-16,26,8,-100,11,17,0,-9,
87253360810,13,30,25,99,9,-7,1,14,
87253366338,12,30,-6,-105,-11,-6,-5,-7,
87253366338,4,-39,-37,67,-35,-7,5,6,
87253373738,-20,19,-123,-86,-31,-3,0,-8,
87253373738,33,115,68,-18,0,11,7,29,
87253381266,24,25,127,94,58,4,1,8,
