timestamp,roll,pitch,yaw,
18227423860,236,31,184,
18227448910,236,31,184,
18227460478,236,31,183,
18227482558,235,31,185,
18227497456,234,31,185,
18227531178,231,31,187,
18227543065,229,32,190,
18227558654,226,34,192,
18227616853,225,35,193,
18227624271,224,36,193,
18227654274,224,36,194,
18227676772,224,36,193,
18227691735,224,36,193,
18227714244,224,36,193,
18227738265,224,35,193,
18227751681,224,35,193,
18227775459,224,35,193,
18227796933,223,35,194,
18227811579,225,34,192,
18227834071,225,34,192,
18227856718,225,34,192,
18227873630,225,34,192,
18227894161,225,34,192,
18227916516,226,34,192,
18227939497,226,34,191,
18227961590,226,34,191,
18227985921,226,34,191,
18227991748,227,34,191,
18227999232,227,34,190,
18228029094,227,34,190,
18228051669,227,34,190,
18228074206,228,34,190,
18228089235,228,34,189,
18228111518,228,34,189,
18228134264,228,34,189,
18228149206,229,34,188,
18228171676,229,33,188,
18228201594,229,33,188,
18228216545,229,33,187,
18228239170,229,33,187,
18228254229,229,33,187,
18228269139,230,33,187,
18228291601,230,33,187,
18228314118,231,33,186,
18228328982,231,33,186,
18228351491,232,33,185,
18228374216,232,33,185,
18228389252,232,33,185,
18228426507,232,32,184,
18228449067,233,32,184,
18228464179,233,32,184,
18228479017,233,32,184,
18228493951,233,32,183,
18228509159,233,32,183,
18228531743,233,32,183,
18228554128,233,32,183,
18228569290,234,32,183,
18228591736,234,32,182,
18228621516,234,32,182,
18228636554,234,32,182,
18228659223,234,32,182,
18228674034,234,32,182,
18228689225,234,32,182,
18228711511,235,32,182,
18228734072,235,32,182,
18228749102,235,32,182,
18228778984,235,32,182,
18228801665,235,31,182,
18228816811,235,31,182,
18228831601,235,31,181,
18228854223,235,31,181,
18228876469,235,31,181,
18228891540,235,31,181,
18228921552,235,31,181,
18228944236,235,31,181,
18228959203,235,31,181,
18228974229,236,31,181,
18228996662,236,31,180,
18229026489,236,31,180,
18229041703,236,31,180,
18229071722,236,31,180,
18229086689,236,31,180,
18229101480,236,30,180,
18229116561,236,30,180,
18229139217,236,30,180,
18229154225,236,30,180,
18229176547,237,30,179,
18229199203,237,30,179,
18229214236,237,30,179,
18229236463,237,30,179,
18229259096,237,30,179,
18229274076,237,30,179,
18229296656,238,31,178,
18229333994,238,31,178,
18229356711,238,30,177,
18229371524,238,30,177,
18229401449,238,30,177,
18229416496,239,30,176,
18229439182,239,30,176,
18229461555,239,30,176,
18229476521,239,30,175,
18229499161,239,30,175,
18229536495,239,30,175,
18229551677,239,30,175,
18229603956,239,30,175,
18229619075,240,30,175,
18229649030,240,30,174,
18229664239,240,30,174,
18229679186,240,30,174,
18229701503,240,30,174,
18229716496,240,30,174,
18229739217,240,30,174,
18229761510,240,30,174,
18229776549,240,30,173,
18229799156,240,30,173,
18229821713,240,30,173,
18229836518,240,30,173,
18229859095,240,30,173,
18229881475,240,30,173,
18229896468,240,30,173,
18229919195,240,30,173,
18229941672,240,30,172,
18229956731,240,30,172,
18229979137,240,30,172,
18230001492,240,30,172,
18230016731,240,30,172,
18230039000,240,30,171,
18230061566,240,30,171,
18230076544,240,31,171,
18230099119,240,31,171,
18230121717,240,31,171,
18230136711,240,31,171,
18230159005,239,31,171,
18230181504,239,31,171,
18230196759,239,31,171,
18230219145,239,31,171,
18230241604,239,31,172,
18230256698,239,31,171,
18230279129,239,31,171,
18230301483,239,31,172,
18230324224,239,31,172,
18230339160,238,31,172,
18230361531,238,31,172,
18230391706,238,31,172,
18230406636,238,32,172,
