timestamp,x,y,z,
24369998312,0.9375,-2.6875,-2.3125,
24370014877,2.125,-3.8125,-0.1875,
24370035251,-0.5625,-5.375,-1.5625,
24370057746,0.5625,-5.25,0.125,
24370080469,0.0625,-4.125,-1.5,
24370095912,-2.3125,-3.5625,0.25,
24370129786,3.5,-3.5625,-1.875,
24370132669,1.5625,-3.5,-3.75,
24370162802,-5.5,-1.6875,-0.3125,
24370208861,-0.9375,0.375,-3.375,
24370215142,-4.0625,-0.375,-2.25,
24370252484,-0.6875,1.6875,-2.875,
24370284814,-4.8125,0.9375,-0.6875,
24370297509,-6.25,2.5,-1.625,
24370327483,-1.125,-1.0625,-1.25,
24370352910,0.9375,0.6875,-1.5625,
24370380136,3.4375,1.1875,0,
24370402521,0.9375,1.75,-1.0625,
24370462458,1.875,-1.875,-1.8125,
24370477580,1.4375,-0.5625,-2,
24370485145,-1.8125,-0.4375,0.3125,
24370500225,-0.625,-3.8125,-0.5625,
24370522718,-1.0625,-5.875,-0.0625,
24370545055,0.125,-3.375,-0.5,
24370567720,2.0625,-1.8125,-1.9375,
24370575047,1.875,-2.4375,-1.1875,
24370590091,-1.3125,-3.25,-0.3125,
24370628740,-2.5,-4.6875,-1.25,
24370635175,-0.875,-3.9375,-1.6875,
24370709904,-1.125,-1.5625,-1.9375,
24370747749,-3.625,-1.9375,-1.9375,
24370769957,-3.125,-1.0625,-0.5625,
24370799969,-4.375,0,0.875,
24370815030,-0.3125,-1.8125,1.875,
24370852443,-1.1875,-0.8125,2,
24370867604,-2.375,-2.875,3.3125,
24370890100,-1.1875,-3.6875,-0.25,
24370919965,1.625,-2.625,2.75,
24370934910,-1.5,0.4375,3.125,
24370987528,-0.625,-3.875,3.5,
24371009922,2.6875,-2.8125,1.8125,
24371047509,-1.0625,-0.125,2.625,
24371107453,4.8125,4.1875,1.3125,
24371122630,-0.875,6.4375,2.9375,
24371137426,2.4375,-0.875,0.1875,
24371152411,1.8125,-0.1875,-0.4375,
24371197632,-1.9375,1.875,-1.1875,
24371212681,1.0625,1.75,-0.375,
24371265027,0.375,4.6875,-3.375,
24371294988,0.1875,5.875,-4,
24371309886,1.5,5.125,-3.375,
24371347674,2.1875,4.8125,-4.1875,
24371370024,0.375,5.6875,-3.3125,
24371400085,0.5,4.5625,-2.5625,
24371437703,0.0625,4.125,-3.4375,
24371452533,2.375,2.875,-2.4375,
24371482451,1.375,1,-1.75,
24371497495,-0.625,1.1875,-1.5625,
24371535149,3.375,0,0.125,
24371557777,0.125,-0.4375,-1,
24371587510,-2.75,0.5,1.5625,
24371602429,3.875,-2,-0.0625,
24371617697,3.6875,-1.75,0.875,
24371662628,0.1875,-1.3125,1.4375,
24371677468,-0.4375,-2.1875,3.6875,
24371700010,1.4375,-2,2.625,
24371722681,2.0625,-0.9375,1.3125,
24371752650,-2.25,0.875,1.25,
24371767629,-2.5625,1.375,0.25,
24371805031,0.1875,0.5625,-0.6875,
24371813826,3.0625,-0.6875,0.1875,
24371842731,-0.9375,0,0.875,
24371872405,-0.3125,1.8125,-0.625,
24371925114,0.375,1.125,-0.25,
24371947680,-0.25,1.875,-0.875,
24371992787,0.25,1.875,-1.0625,
24372037500,0.375,4.1875,-2.1875,
24372074973,3.375,3.6875,-0.9375,
24372112621,2.9375,4.125,0.8125,
24372142644,3.9375,3.0625,1.3125,
24372247499,1.4375,2.0625,3.8125,
24372269961,2.0625,3.0625,3.4375,
24372315169,4.1875,3.5625,3.5,
24372390199,2.6875,4,4.875,
24372405035,1.9375,5,4.5625,
24372472513,0.9375,4.1875,0.3125,
24372494906,-1.4375,3.375,-0.8125,
24372584925,-1.4375,-0.4375,-1.6875,
24372599910,-0.75,-1.4375,-2.5625,
24372659964,-1.1875,-3.75,-1.875,
24372674903,-2,-3.9375,-0.4375,
24372719927,0.25,-4.25,1.125,
24372749914,0.1875,-4.25,0.25,
24372794907,0.4375,-3.625,0,
24372839915,-2.0625,-1.5,-4.5,
24372877397,-1.25,-1.1875,-3.875,
24372892426,-3.6875,-0.1875,-4.8125,
24372914945,-2.8125,0,-4.25,
24372944877,0.625,-1.3125,-5.0625,
24372959972,-1.4375,-2.0625,-5.125,
24372974905,0.3125,-3.875,-4.1875,
