timestamp,roll,pitch,yaw,
7631671471,224,37,84,
7631682331,224,37,84,
7631702951,224,37,84,
7631723983,224,37,84,
7631741141,224,37,83,
7631764579,225,37,83,
7631784482,226,38,82,
7631799176,226,38,81,
7631837878,226,38,81,
7631851516,227,38,81,
7631889233,227,38,81,
7631912875,227,38,81,
7631933952,226,38,81,
7631956349,226,38,81,
7631980727,226,38,81,
7632001349,226,38,81,
7632016387,226,38,81,
7632040907,226,37,81,
7632076331,226,37,81,
7632092778,226,37,81,
7632121332,226,37,81,
7632136389,226,37,81,
7632152723,226,37,81,
7632158822,226,37,81,
7632196323,226,37,81,
7632218727,226,36,81,
7632233776,226,36,80,
7632256333,226,36,80,
7632278736,226,36,80,
7632293764,227,36,80,
7632331219,227,36,80,
7632353751,227,36,80,
7632368972,227,36,80,
7632398956,227,35,79,
7632413765,227,35,79,
7632436550,227,35,79,
7632459005,227,35,79,
7632473753,227,35,79,
7632496303,227,35,79,
7632526549,227,35,79,
7632541474,227,35,79,
7632578802,227,35,78,
7632593919,228,35,78,
7632624086,228,35,78,
7632646299,228,35,78,
7632661287,228,35,78,
7632676498,228,35,78,
7632698761,228,35,78,
7632713872,228,35,78,
7632736506,228,35,78,
7632758984,228,35,78,
7632773977,228,35,78,
7632796237,228,35,78,
7632818986,228,35,78,
7632833798,228,35,78,
7632856296,228,35,78,
7632878789,228,35,77,
7632893999,228,35,77,
7632923934,228,35,77,
7632954018,228,34,77,
7632968875,229,34,77,
7632983912,229,34,77,
7632998818,229,34,76,
7633028997,229,34,76,
7633051452,229,34,77,
7633081273,229,34,76,
7633103999,229,34,76,
7633126530,229,34,76,
7633163860,229,34,76,
7633186222,230,34,76,
7633208983,230,34,75,
7633238979,230,34,75,
7633261342,230,34,75,
7633276469,231,34,74,
7633298828,231,34,74,
7633321492,231,34,74,
7633336462,231,33,74,
7633359023,231,33,74,
7633381301,231,33,74,
7633396342,231,33,74,
7633418985,231,33,74,
7633449074,231,33,73,
7633464070,231,33,73,
7633486492,231,33,73,
7633501327,231,33,73,
7633516488,231,33,73,
7633538954,231,33,73,
7633561447,231,33,73,
7633576486,231,33,72,
7633606313,232,33,72,
7633636493,232,34,72,
7633651467,232,34,72,
7633666341,232,34,72,
7633689044,232,34,71,
7633703834,232,34,71,
7633748791,233,34,70,
7633763875,233,34,70,
7633778963,233,34,70,
7633801295,233,34,69,
7633823962,233,34,69,
7633846294,233,34,69,
7633883834,233,34,69,
7633921567,234,34,68,
7633936351,234,34,68,
7633966441,234,34,68,
7634003910,234,34,68,
7634034002,234,34,68,
7634048992,234,34,68,
7634108849,234,34,67,
7634123981,234,34,67,
7634138861,234,34,67,
7634161439,234,34,67,
7634183869,234,34,67,
7634198967,234,34,66,
7634221440,234,34,66,
7634243791,234,34,66,
7634258844,235,34,66,
7634288705,235,34,65,
7634311245,235,34,65,
7634318699,235,34,65,
7634333833,235,34,65,
7634356333,235,34,65,
7634378899,235,34,65,
7634401321,235,34,65,
7634438792,235,34,65,
7634461423,235,34,65,
7634484036,235,34,65,
7634491253,235,34,65,
7634513823,235,34,65,
7634536389,235,34,66,
7634551322,235,34,66,
7634573794,235,34,66,
7634596453,234,34,66,
7634611422,234,34,66,
7634634041,234,34,66,
7634656285,234,34,66,
