timestamp,x,y,z,
28417554853,-0.1875,6.0625,-11.625,
28417569058,7.25,1.1875,-0.3125,
28417591923,-1.6875,-0.375,2.75,
28417619964,-1.125,-0.375,-6.625,
28417627651,8.375,-0.3125,-9.375,
28417651856,3.5,-3.125,6.125,
28417672855,-2.375,0.75,4.4375,
28417689140,-5,2.25,-2.625,
28417726364,3.375,5.5625,1.3125,
28417747467,-3.625,0.875,10.5,
28417777562,-8.25,-0.625,4.9375,
28417799936,-1.75,2.625,0.625,
28417822560,-0.625,4.8125,10.8125,
28417847011,-5.1875,0.1875,12,
28417876307,-8.5,-2.625,-0.125,
28417899502,1.9375,-0.9375,2.5625,
28417928813,-5.5,-3.25,3.5625,
28417951961,-2.75,-6,0.5,
28417965009,-1.25,-1.6875,0.375,
28417987626,-8.875,-5.625,0.9375,
28418009970,-1.625,-5.3125,2,
28418024961,-2.8125,-0.6875,-2.3125,
28418039926,-1.6875,-3.4375,-3.9375,
28418054959,-1,-7.8125,0.75,
28418099890,-2.125,-8.5,0.875,
28418122383,-4.3125,0.375,-0.5625,
28418144917,3.4375,4.75,-10.625,
28418167376,-0.5625,0.375,7.125,
28418189851,-1.5,7.5625,0.25,
28418204907,-1.625,5.5,-13.3125,
28418227390,1.5,2.125,-13,
28418249916,1.1875,-4.5,-1.75,
28418264913,4.5,-1.0625,4.375,
28418287359,-0.875,-1.0625,-1.5,
28418309971,-4.625,-5.25,-12.625,
28418347400,1.25,5.75,6.625,
28418377394,-3.5625,6.6875,-3.5,
28418414896,3.625,-3.5,-13.9375,
28418429920,1.375,2.6875,6.6875,
28418482413,-4,-4.8125,-17.375,
28418504899,5.375,-5.8125,-14.5625,
28418527399,-5.8125,-0.0625,-6.0625,
28418564857,4.4375,-1.1875,-13.8125,
28418609916,-0.375,-1.375,-4.5625,
28418654874,-0.125,-6.4375,-1.875,
28418714860,2.75,-0.25,10.375,
28418737413,1.625,2.125,2.0625,
28418797398,0.125,-2.4375,7.1875,
28418864839,0.625,-6.8125,-4.625,
28418887413,-1.6875,-10.1875,0.3125,
28418909861,-6.6875,-11.5625,-8.9375,
28418947353,8.5,-5,3.25,
28418969913,-4.3125,-2.125,6.625,
28419008465,-0.5,-8.0625,-12.6875,
28419029859,4,-3.125,1.6875,
28419067422,-3.25,-5.9375,-7.0625,
28419089843,-0.875,-11.4375,-10.625,
28419134892,-0.5,-7.875,-1.6875,
28419164866,-3.125,-5.75,-2.9375,
28419209931,-2.1875,0.875,-4.75,
28419224874,-6.6875,-1.375,-6.125,
28419254864,3.125,1.25,-1.8125,
28419269954,3.625,5.5625,5.0625,
28419284865,-2.3125,6.4375,-0.75,
28419307392,-0.6875,4,0.0625,
28419322387,-2.375,0.4375,-0.875,
28419344883,-2.4375,1.875,-8,
28419359882,-3.875,2,-4,
28419382367,-3.3125,-0.875,-0.6875,
28419404842,-5.9375,2.5625,-9.4375,
28419427426,2.125,5,-13.0625,
28419449922,-1.5,8.3125,-1,
28419479843,-9.9375,6.5625,0.5,
28419502405,-10.4375,7.3125,-6.5,
28419524842,-1.3125,8.25,-4.125,
28419539847,1.9375,5.3125,-1.8125,
28419554880,-8.6875,3.8125,-5.3125,
28419569890,-10.9375,3.6875,-8.5,
28419584856,-2.3125,2.25,-3.875,
28419599874,6.875,0.9375,-6.0625,
28419629906,-6.625,-3.125,-8.875,
28419652359,-6.25,3.5,-9.3125,
28419667418,0.125,-1.1875,4.125,
28419682356,2,-8.375,-1.3125,
28419704928,-10.5,-7.25,-17.625,
28419719879,-6.375,-4.0625,-15.5625,
28419742346,-5.375,-3.4375,-7,
28419764847,-6.3125,-6.25,-10.375,
28419779909,-3.75,-5.8125,-15.6875,
28419802419,-3.625,-9,-11.5,
28419824875,-4.0625,-6.5625,-5.8125,
28419839944,-5.75,-9.3125,-8.25,
28419862416,-1.9375,-2.6875,-14,
28419892403,6.3125,-3,-7.3125,
28419907352,4.1875,-4.6875,2.3125,
28419944901,3.3125,-3.625,-8.8125,
28419959847,7.9375,-2.8125,0.6875,
28419982378,2.25,-6.125,12.6875,
28420004871,-8.375,-7.0625,0.8125,
28420019900,-0.0625,-7.625,-11.125,
28420042419,6.0625,-10.25,-4.5,
28420064885,-0.75,-14.5625,2.9375,
28420080150,-7.875,-10.4375,-2,
28420109921,-4.9375,-12.375,-6.75,
28420132451,6.75,-10.6875,-9.3125,
28420147634,-5.0625,-16.25,-11.375,
28420170162,-10.4375,-22,-11.8125,
28420200053,0.9375,-20.625,-13.5625,
28420222424,10.3125,-24,-4.875,
28420237540,-2.375,-21.5625,-3.6875,
28420252378,-2.625,-16.5625,-7.5625,
28420267613,15.5625,-13.3125,-6.5625,
28420289859,2,-14.0625,-2,
28420334911,-0.9375,-7.4375,-3.625,
28420350105,6.25,-11.6875,-3.875,
28420387402,-1.375,-15.375,3.625,
28420395019,3.25,-6.4375,3.3125,
28420417618,10.5,-3.4375,10,
28420455032,-6.125,-4.9375,-3.1875,
28420492575,3.25,-2.625,10.75,
28420507407,-0.25,-0.375,4.5,
28420522499,-1.3125,-1.5,-1.125,
