timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
40533241343,10,84,79,-65,48,10,-6,-3,
40533241343,10,31,46,100,-20,-19,0,2,
40533249123,-6,-18,-56,-33,21,-1,-6,-1,
40533249123,-24,-59,-77,8,-102,-20,-32,-10,
40533265662,36,-64,25,95,71,60,94,10,
40533265662,47,107,67,-106,61,-5,34,6,
40533271181,-55,-29,-4,-43,-95,-32,-81,-24,
40533271181,-6,-16,-29,47,127,0,-11,-2,
40533286120,-44,-14,-77,-20,-16,-56,-64,-11,
40533286120,-50,-84,-77,-13,-82,-26,-43,-9,
40533295222,27,23,41,37,-73,34,38,12,
40533295222,23,99,113,-118,-13,26,17,7,
40533308642,15,53,-7,38,3,24,-4,6,
40533308642,-37,-44,-60,-82,-29,-37,-52,-18,
40533331167,45,39,125,127,27,35,70,15,
40533331167,88,88,101,-21,127,60,117,24,
40533346506,-50,-41,-97,-128,-58,-78,-69,-30,
40533346506,-86,-114,-121,-88,-80,-52,-102,-20,
40533355013,19,32,96,53,127,17,41,3,
40533355013,3,97,59,-48,-44,48,-19,6,
40533376219,-39,-99,-83,-105,-124,-19,-51,-11,
40533376219,22,-11,-2,84,-27,-25,47,9,
40533383906,43,76,7,-91,96,52,46,12,
40533383906,1,-8,40,127,-93,21,12,-4,
40533391359,9,-15,-15,-68,121,-7,19,4,
40533391359,-46,-56,-108,-81,-128,-52,-75,-12,
40533406145,11,34,79,103,41,-5,14,7,
40533406145,23,78,31,-26,54,37,17,4,
40533436199,27,21,61,84,-58,4,46,16,
40533436199,51,77,79,102,71,18,66,17,
40533451455,14,18,-11,-56,-21,58,16,7,
40533451455,26,77,58,-8,10,61,12,1,
40533458608,-80,-120,-128,-128,-11,-123,-96,-33,
40533458608,-66,-108,-68,73,-61,-32,-56,-19,
40533481108,56,90,97,48,82,69,47,29,
40533481108,3,11,53,-3,51,-31,11,-5,
40533491827,-1,39,53,11,74,18,-12,-4,
40533491827,30,52,85,-68,-115,10,45,9,
40533503683,26,22,-32,-68,95,10,12,5,
40533503683,-76,-78,-90,-41,-15,-74,-84,-36,
40533511155,-33,-33,32,77,-73,-15,-14,-4,
40533511155,23,20,-20,-35,10,40,31,14,
40533518675,19,-13,-9,-66,72,16,17,8,
40533518675,-21,-56,-55,-8,-38,-59,-16,-10,
40533526192,26,79,62,56,65,6,23,13,
40533526192,24,48,74,-35,31,11,23,0,
40533542545,-5,21,-23,-26,-93,-9,-12,-3,
40533542545,-23,-54,-75,-49,43,-18,-30,-4,
40533548886,12,35,28,-10,76,61,14,4,
40533548886,23,59,62,118,-71,-15,17,12,
40533556154,13,69,114,127,95,21,-3,-2,
40533556154,-7,29,82,82,15,20,0,-8,
40533563598,-28,-122,-128,-128,-116,-22,-21,-6,
40533563598,-59,-122,-128,-72,-25,-49,-67,-19,
40533586099,10,-5,75,100,-55,2,26,8,
40533586099,49,82,37,-62,92,15,41,18,
40533593613,20,69,110,61,-6,55,35,-9,
40533593613,25,88,0,-49,127,26,-3,6,
40533608870,-117,-128,-119,-93,-128,-103,-128,-42,
40533608870,-14,-59,0,39,-79,-19,7,2,
40533616189,72,101,69,56,96,24,92,26,
40533616189,11,41,15,-74,-85,28,28,-4,
40533623740,38,19,-16,71,127,39,31,4,
40533623740,-24,1,-53,-128,4,-37,-43,-10,
40533631131,-74,-101,-56,34,-128,-65,-99,-25,
40533631131,-26,-57,-63,-23,-84,-20,-34,-1,
40533638675,36,12,-44,65,-44,52,70,20,
40533638675,55,75,60,-9,-22,57,56,18,
40533646466,-4,43,63,-64,24,24,-24,-9,
40533646466,2,-21,-46,101,127,-31,12,-8,
40533668640,-44,-40,21,81,42,-54,-51,-17,
40533668640,33,81,103,110,-91,80,40,16,
40533676105,-7,-35,-52,-93,55,-57,-19,-7,
40533676105,-37,-80,-60,94,-8,-53,-37,-9,
40533683834,25,14,70,29,-40,20,34,14,
40533683834,29,7,59,82,-41,0,55,8,
40533698773,-84,-81,-116,-29,-73,-64,-111,-29,
40533698773,-5,-38,37,74,52,-9,3,2,
40533713582,24,15,10,-38,8,33,32,16,
40533713582,10,1,35,1,12,18,2,2,
40533721137,62,72,82,59,-8,43,92,20,
40533721137,41,69,-114,-128,65,-16,57,0,
40533736207,-71,-49,-99,-38,-106,-56,-95,-27,
40533736207,-72,-82,-70,86,90,-35,-58,-29,
40533743778,-4,72,73,-92,-15,12,-6,5,
40533743778,-5,-7,10,27,-9,-6,-11,1,
40533758823,3,-15,6,60,11,13,-3,-5,
40533758823,-9,-55,-42,82,38,-38,-7,-6,
40533781323,5,8,8,-75,-106,7,-5,4,
40533781323,30,32,79,25,41,26,21,6,
40533788724,50,58,106,90,127,33,66,17,
40533788724,-17,24,-118,-128,-59,-4,-31,-10,
40533803675,-46,-56,-80,20,-128,29,-55,-15,
40533803675,-14,-42,41,64,79,-59,-8,-10,
40533811111,-21,-37,-79,-120,-84,-65,-25,-7,
40533811111,-73,-62,-91,-90,-92,-22,-103,-16,
40533826228,-4,-12,-80,-27,14,12,-32,-8,
40533826228,-37,-91,-62,35,62,-79,-35,-19,
40533841325,48,65,82,82,46,34,75,10,
40533841325,65,100,86,-38,37,87,74,23,
40533856105,-13,-45,-35,29,127,-2,-26,-12,
40533856105,-14,-44,24,85,-128,-63,-5,-8,
40533863690,2,0,-58,-106,-73,-10,2,1,
40533863690,-21,-18,1,-64,-108,6,-36,-10,
40533878671,-86,-115,-114,-15,-96,-36,-104,-25,
40533878671,53,47,127,120,110,23,87,26,
40533901109,59,84,28,-80,-58,32,60,19,
40533901109,-42,-54,-85,-95,-117,-19,-63,-21,
40533908564,-31,-47,-35,15,26,-10,-35,-13,
40533908564,-7,29,41,52,-7,9,-13,-2,
40533923681,7,-20,41,127,12,-23,14,6,
40533923681,64,31,73,127,69,52,99,22,
40533931283,49,45,21,-81,60,15,73,12,
40533931283,-29,6,-38,-126,65,-16,-51,-21,
40533938602,-15,-26,52,68,-9,20,-3,-2,
40533938602,37,62,78,-41,23,21,31,12,
40533953677,20,63,94,71,-38,25,24,4,
40533953677,-14,-14,-67,-104,-28,-18,-11,-14,
40533961111,-30,-38,-62,-8,-54,3,-38,-11,
40533961111,-2,-7,25,74,114,-11,0,2,
40533976348,-5,26,44,-64,34,-6,-16,-2,
40533976348,17,8,62,-18,-62,-4,32,4,
40533991336,55,18,-3,24,11,94,63,22,
40533991336,-31,-40,-59,28,0,-58,-38,-18,
40534006164,13,39,83,2,-45,-19,25,7,
40534006164,20,26,8,112,45,50,21,5,
40534021213,0,21,-5,93,-7,-11,-7,-1,
40534021213,10,3,13,25,-41,0,19,2,
40534028756,2,14,12,-80,-45,-23,1,-5,
40534028756,4,-23,-22,23,-92,23,4,1,
40534051278,-18,-24,-25,13,-11,-12,-21,-2,
40534051278,46,36,94,80,-2,26,74,18,
40534066200,25,10,48,-97,19,20,35,8,
40534066200,24,53,-10,-95,50,-17,4,9,
40534073789,-56,-35,-98,27,97,-54,-66,-25,
40534073789,-47,-34,-6,14,-40,-20,-48,-16,
40534088693,42,41,48,61,13,22,50,11,
40534088693,12,11,-30,-112,-78,-16,8,3,
40534103606,-1,-8,-97,-128,-71,-12,-15,0,
40534103606,-58,-70,-36,-4,-55,-34,-73,-24,
40534118617,-3,-10,-52,-14,67,14,-2,1,
40534118617,5,67,61,-33,-42,-15,-5,-2,
40534126219,0,49,105,103,85,15,0,3,
40534126219,58,-1,-63,-24,-21,56,58,32,
40534141292,3,17,-48,-104,-91,-43,-11,-1,
40534141292,-31,-37,-70,-128,-58,9,-54,-8,
40534156113,23,17,49,76,12,21,38,11,
40534156113,51,35,41,45,51,52,72,22,
40534163636,30,0,78,35,3,-9,55,2,
40534163636,8,26,-44,-99,-17,-34,-2,-5,
40534178751,-74,-66,-93,-80,-27,-29,-99,-35,
40534178751,-25,-12,0,27,-14,21,-29,-3,
40534186259,18,48,48,14,27,2,13,10,
40534186259,1,-9,26,80,124,-9,17,-4,
40534208616,-29,-49,-75,-107,-56,-28,-38,-8,
40534208616,19,43,88,30,21,9,19,5,
40534223668,19,60,78,113,70,5,30,2,
40534223668,28,14,71,114,47,45,47,8,
40534231336,41,54,57,6,127,56,57,5,
40534231336,-41,-16,-97,-128,-100,-64,-60,-18,
40534246096,15,40,65,12,80,41,1,10,
40534246096,-4,-5,8,7,29,3,-3,1,
40534261319,-47,-22,-71,-67,-49,-28,-54,-22,
40534261319,0,28,65,75,-40,1,-7,-1,
40534276332,29,-3,-11,24,-93,40,25,13,
40534276332,-1,-10,-21,-107,96,-19,6,-3,
40534283810,-9,-19,-11,-51,-17,14,-6,-9,
40534283810,-36,-15,-89,-63,-15,-13,-66,-1,
40534298629,-41,-59,-25,60,-58,-25,-25,-18,
40534298629,53,74,41,79,-109,19,45,26,
40534306207,16,-15,-4,97,70,3,14,2,
40534306207,-5,-27,25,-15,-10,9,12,-7,
40534321070,25,34,73,54,-39,39,34,10,
40534321070,13,40,14,-45,29,-19,25,-10,
40534343811,-57,15,-57,-112,56,-32,-82,-21,
40534343811,-98,-120,-128,-96,-95,-69,-106,-29,
40534351149,-18,-34,8,106,-78,4,-5,3,
40534351149,49,64,111,105,73,40,64,19,
40534373662,37,14,48,-11,24,9,39,9,
40534373662,20,11,-5,51,31,45,26,5,
40534381244,9,-37,-51,-28,-122,-17,5,7,
40534381244,-22,-56,-58,-45,110,-28,-17,-16,
40534403574,-23,-13,-87,-99,-3,-30,-54,-10,
40534403574,-35,-60,-63,99,8,-61,-35,-7,
40534411094,21,7,12,-93,-109,6,44,5,
40534411094,33,73,14,-46,83,36,7,11,
40534418871,-64,-80,-77,-23,-19,-27,-66,-28,
40534418871,-44,-44,-10,18,-79,-13,-43,-11,
40534433784,23,28,-38,-128,91,-30,14,-1,
40534433784,-28,-35,-34,-81,39,35,-45,-14,
40534441273,-30,5,-10,-50,75,-76,-47,-20,
40534441273,-37,-69,-69,-20,-128,-23,-51,-4,
40534456358,-6,-42,-31,24,77,12,7,5,
40534456358,30,48,49,91,-96,12,32,11,
40534463634,35,30,27,95,67,33,68,4,
40534463634,4,1,-28,-15,68,-14,4,-7,
40534478596,-53,-36,-13,-123,81,-46,-85,-23,
40534478596,-38,5,39,-1,-63,-1,-50,-12,
40534486149,22,59,7,-23,-16,18,20,15,
40534486149,41,19,-63,-76,-78,23,33,22,
40534501207,32,68,127,77,74,48,25,12,
40534501207,5,35,57,83,102,56,13,4,
40534516018,-17,-5,-53,-15,-37,-14,-28,-6,
40534516018,-24,-80,-67,-71,-76,-34,-32,-1,
40534523804,27,8,34,41,-41,10,32,8,
40534523804,17,50,38,-56,12,-11,16,3,
40534538817,66,15,104,95,127,76,115,14,
40534538817,-35,15,-118,-128,31,-57,-52,-25,
40534546146,-128,-128,-121,-40,-128,-63,-126,-41,
40534546146,-16,14,22,101,-80,30,0,-4,
40534561292,35,18,-4,-102,-35,54,39,12,
40534561292,10,58,114,-57,40,-23,-19,-4,
40534576307,-55,-54,-119,-12,-58,-12,-62,-21,
40534576307,-1,-4,0,77,6,1,-9,2,
40534583794,33,41,66,13,5,-2,26,17,
40534583794,-15,-61,-43,-40,-98,-12,-4,-8,
40534598762,33,-36,21,113,-30,-9,56,19,
40534598762,75,80,76,107,-36,52,90,20,
40534606081,-11,-2,-99,-60,58,-12,-7,-20,
40534606081,-76,-29,-72,-69,-67,-44,-62,-36,
40534621167,33,0,0,11,8,16,34,20,
40534621167,19,-52,-83,-68,47,-2,13,6,
40534636339,-52,-36,-3,-14,-32,-47,-57,-26,
40534636339,2,29,64,61,67,26,6,3,
40534643848,10,19,21,9,-19,7,1,3,
40534643848,23,-62,15,119,15,-15,46,12,
40534666083,28,49,25,-110,-16,28,38,3,
40534666083,-22,14,-17,-124,70,-23,-44,-16,
40534673754,-48,-22,-52,0,-24,-14,-71,-14,
40534673754,20,23,75,102,-25,33,18,17,
40534688628,97,106,90,1,-32,85,115,29,
40534688628,-5,48,-41,-22,127,-56,-16,-11,
40534696256,-102,-110,-99,54,-8,-73,-95,-31,
40534696256,-23,6,33,-48,-118,-12,-5,-7,
40534703594,21,85,49,-81,62,83,-3,13,
40534703594,-34,-12,-23,-66,38,-62,-50,-17,
40534718576,-11,-12,-100,-90,33,11,-24,-7,
40534718576,-73,-92,-29,23,18,-49,-94,-30,
40534726271,-3,-4,27,98,5,15,0,5,
40534726271,27,67,113,113,73,16,19,11,
40534741349,31,44,65,34,-74,46,35,14,
40534741349,12,-55,-19,69,-86,-20,36,3,
40534748645,63,0,22,5,109,43,93,14,
40534748645,-9,19,-63,-92,6,-32,-20,-16,
40534756127,-105,-83,-128,-74,-95,-105,-128,-31,
40534756127,-81,-101,-117,-23,-106,-24,-75,-17,
40534763709,30,44,123,109,-26,41,45,27,
40534763709,63,62,99,84,123,67,76,29,
40534778669,31,10,21,-61,59,-34,37,4,
40534778669,29,28,50,16,-70,22,33,3,
40534786189,-21,-27,-60,-67,-51,-58,-31,-21,
40534786189,-53,-50,-66,-7,-2,-10,-72,-23,
40534801348,-5,6,71,127,127,-6,-2,-5,
40534801348,34,66,-10,-126,-34,74,42,11,
40534808617,-19,-14,-11,37,-44,-50,-38,-11,
40534808617,-15,-84,-81,-88,27,17,2,0,
40534816111,5,35,-50,-51,-28,-13,0,4,
40534816111,-4,9,-3,-58,-22,-5,-28,-3,
40534823856,28,63,102,59,30,98,30,8,
40534823856,9,82,112,74,20,-70,-17,0,
40534846175,-18,-69,-32,54,-45,-24,1,-4,
40534846175,28,-47,-47,1,59,6,61,9,
40534853765,-5,23,-10,-128,-66,6,-20,-3,
40534853765,-18,-39,29,51,-78,24,-12,-6,
40534868831,13,1,-77,-61,87,-5,27,3,
40534868831,-41,-1,-22,-35,28,-43,-76,-19,
40534876224,-25,-30,50,121,-81,-28,-1,-7,
40534876224,49,78,27,-116,-73,87,53,19,
40534883805,-14,-4,-11,-50,62,-52,-55,-14,
40534883805,-9,-71,18,126,-9,33,22,2,
40534898657,9,22,87,127,-27,14,20,7,
40534898657,43,68,46,-48,110,66,33,16,
40534906148,-18,-35,-70,-121,-44,-34,-28,-6,
40534906148,11,27,26,118,-31,31,16,2,
40534921070,-78,-97,-83,-40,-103,-71,-82,-22,
40534921070,-15,-21,-22,3,1,-30,-11,4,
40534936217,41,66,84,61,36,73,62,14,
40534936217,69,97,22,-31,-48,50,63,25,
40534943685,-37,-57,-106,-45,61,-59,-56,-25,
40534943685,-42,-60,-52,8,-16,31,-49,-7,
40534958832,15,35,26,-17,-24,17,15,6,
40534958832,-9,34,48,60,104,-10,-19,-6,
40534966153,-15,-5,3,46,-99,2,-20,-7,
40534966153,21,0,6,10,-10,-21,26,5,
40534988780,-13,42,-28,-89,9,-7,-39,-13,
40534988780,-42,-83,-83,108,26,-33,-33,-18,
40535003600,-15,4,-18,-21,19,6,-26,1,
40535003600,-8,6,16,-8,-104,15,-11,-2,
40535011165,29,17,8,-49,-50,49,35,11,
40535011165,-7,-9,-21,-58,103,-21,0,-8,
40535026075,-37,-12,-92,-24,-90,-57,-58,-13,
40535026075,-6,-30,73,127,44,-13,-9,-4,
40535033777,49,37,62,-9,7,70,83,17,
40535033777,21,49,-29,-128,75,2,1,2,
40535041130,-72,-77,-110,15,12,-21,-104,-24,
40535041130,-52,-94,-105,73,11,-22,-44,-8,
40535048840,32,36,56,72,-29,2,37,17,
40535048840,58,82,127,119,-105,18,81,17,
40535056416,42,46,87,-103,66,-3,52,5,
40535056416,-13,-30,-39,67,56,8,-8,-10,
40535063675,-41,-80,-98,-92,-3,-23,-44,-14,
40535063675,-9,10,53,97,31,-1,-27,-1,
40535078788,-26,-14,-39,-21,24,-25,-29,-10,
40535078788,17,28,41,-79,-43,50,9,13,
40535086177,7,28,36,116,109,-22,15,0,
40535086177,-31,-11,-94,-128,-99,-16,-33,-13,
40535108532,-15,-19,-53,3,-68,3,-29,1,
40535108532,-22,-65,-75,2,-33,-34,-16,-4,
40535116149,2,16,33,32,-21,1,9,1,
40535116149,33,11,22,-6,65,18,37,10,
40535123814,23,19,45,43,8,-1,28,4,
40535123814,6,-6,7,-28,-18,9,19,-2,
40535131253,22,66,60,-20,43,36,5,7,
40535131253,35,58,105,114,-77,30,43,13,
40535146347,41,2,-52,-113,102,-40,67,3,
40535146347,-29,-33,-26,-43,-119,-4,-32,-17,
40535161389,-40,-22,16,67,-32,-30,-60,-6,
40535161389,23,66,98,92,-110,-21,22,11,
40535168651,53,83,121,97,63,14,76,14,
40535168651,11,-6,-31,-18,76,6,11,-2,
40535176267,-39,-92,-78,-2,-81,10,-37,-9,
40535176267,9,-27,9,49,55,-24,38,3,
40535183864,11,33,-16,-95,-31,-16,5,2,
40535183864,-26,19,-9,11,26,-17,-39,-18,
40535198805,-1,22,60,-11,-42,37,-19,5,
40535198805,10,8,-14,-87,-22,25,15,1,
40535206220,50,49,99,105,14,38,56,20,
40535206220,-8,-25,-30,-7,74,-34,-3,-10,
40535221271,-42,-69,-128,-112,-103,-24,-51,-12,
40535221271,-4,-23,21,124,85,-21,3,1,
40535228655,49,76,109,71,64,40,66,19,
40535228655,-8,-37,-84,-72,-77,-17,9,-7,
40535236187,-44,-31,-53,-35,-97,-31,-69,-14,
40535236187,-54,-19,21,56,-54,-9,-84,-22,
40535243618,-7,15,44,82,-46,22,-30,2,
40535243618,44,72,127,127,19,57,54,16,
