timestamp,x,y,z,
146014933717,3.375,-2.6875,-0.1875,
146014965168,3.5625,-1.8125,0.125,
146014972427,3.4375,-0.9375,0.375,
146014994297,3.375,-0.3125,0.6875,
146015009348,3.625,-0.0625,0.625,
146015030580,4.5,1.625,0.9375,
146015045578,2.4375,0.4375,1.0625,
146015068074,3.125,-0.3125,0.0625,
146015091851,3.75,-0.8125,0.5625,
146015130073,2.875,-0.0625,0.625,
146015150499,1.8125,-0.375,-0.0625,
146015203025,1.625,-2,0.6875,
146015218018,1.6875,-1,1.1875,
146015255716,0.8125,-0.6875,0.5625,
146015285493,0.6875,-1.75,0.625,
146015308308,0.4375,-0.8125,0.5625,
146015323052,0.3125,-0.5625,1,
146015353027,-0.375,-1.625,0.6875,
146015377085,-1.0625,-2.0625,0.5625,
146015392439,-0.5625,-1.8125,0.6875,
146015405490,-0.875,-2,1.0625,
146015429424,-2,-2,1.0625,
146015457976,-2.0625,-1.875,0.5625,
146015495475,-2.125,-2.625,0.3125,
146015512008,-2.1875,-2.625,-0.3125,
146015525480,-1.3125,-1.5625,-0.3125,
146015533093,-1.25,-1.5,0.8125,
146015570574,-1.8125,-1,0.625,
146015615531,-1.625,-1.3125,1.25,
146015630732,-1.8125,-1.5,0.5,
146015645703,-0.625,-0.6875,-0.1875,
146015668413,-0.1875,-1.1875,-0.5625,
146015683067,-1.625,1.4375,-1.5,
146015713134,0.75,3.875,-2.125,
146015735509,3.0625,3.1875,-1.6875,
146015772934,1.5625,4.6875,1,
146015795942,0.5625,3.1875,1.5,
146015833046,0.9375,1.3125,1.9375,
146015855499,0.25,0.5,1.5,
146015908194,-1.25,0.8125,1.5625,
146015953076,-1.625,-1,0.75,
146015968027,-0.6875,-1,0.6875,
146015990539,-0.9375,-1.375,0.125,
146016050338,-1.0625,-1,0.1875,
146016103023,-1.4375,-1.6875,0.25,
146016140448,-0.75,0.9375,0.9375,
146016155651,0.5,0,0.6875,
146016170436,0.6875,-0.0625,1.4375,
146016185396,-0.375,1.25,1.25,
146016208150,0.25,0.625,0.9375,
146016223171,-0.1875,0.9375,0.8125,
146016252985,-0.3125,0.5,0.5625,
146016282871,-0.4375,-0.9375,0.0625,
146016298045,-0.625,0.125,0.6875,
146016320590,-0.25,-0.0625,0.6875,
146016343006,0.625,0.375,0.5,
146016365427,2,0.5625,0.5625,
146016410643,-0.375,0.625,-0.8125,
146016455325,0.25,1.8125,-0.0625,
146016485496,0.375,1,-0.4375,
146016508002,0.6875,-0.125,0.3125,
146016552947,-0.625,-0.6875,-0.3125,
146016568013,-0.0625,0,-0.125,
146016650422,-0.3125,-2.0625,0.125,
146016680640,1.9375,-1,0.5625,
146016702879,0.25,-1.1875,0.9375,
146016725657,1.25,-0.4375,1.0625,
146016748200,0.5625,-1,0.75,
146016770487,0.9375,-0.9375,0.625,
146016785459,0.1875,-1.8125,0.5,
146016808167,1,-1.25,0.25,
146016830473,2.125,-1.375,0.5,
146016845648,1.6875,-2.125,0.75,
146016868119,0.25,-1.3125,0.5625,
146016890422,0.5,-0.875,0.375,
146016935534,1.5625,-1.5625,0.3125,
146016972876,1.375,-0.9375,0.375,
146016987943,0.375,-0.9375,0.5625,
146017017921,-0.625,-1.4375,0.6875,
146017025431,-1.3125,-1.625,0.25,
146017048134,1.25,-1.4375,0.875,
146017062945,1.4375,-0.75,0.4375,
146017078115,0.0625,-1.4375,0.3125,
146017100396,-0.125,-1.8125,0.375,
146017130566,-0.0625,-2.0625,0.625,
146017145520,-1.125,-0.75,0.0625,
146017167889,-0.5,-1.0625,-0.9375,
146017183140,-0.25,-1.75,-0.6875,
146017198146,-0.9375,-1.375,0.5625,
146017220457,-1.8125,-0.75,0.0625,
146017243160,0.3125,-1.125,0.1875,
146017257832,0.75,0.375,0.875,
146017280363,-0.6875,-0.0625,0.9375,
146017302874,-1.0625,-0.875,0.0625,
146017325610,0.6875,-1.25,-0.4375,
146017340381,0.5,-0.375,-0.125,
146017370455,-0.8125,0.625,0.0625,
146017392985,-0.25,-0.1875,-0.0625,
146017437870,0.75,0.4375,-0.625,
146017460357,-0.25,-0.125,-0.5,
146017497859,0.8125,0.75,0,
146017527839,0.75,0.25,-1,
146017588164,-0.1875,0,-0.625,
146017625646,1.125,0.3125,0.75,
146017640579,-1.3125,-0.9375,0.25,
146017670674,-0.4375,-1.625,-0.1875,
146017700428,1.875,1.125,-0.3125,
146017723089,1.625,0.625,0,
146017760341,0.75,0,-0.75,
146017790361,1.4375,-1.25,-0.6875,
146017812876,-1.25,-2.375,-0.3125,
146017835345,-2.5625,-3,0,
146017850396,-0.3125,-0.75,0,
146017880398,-0.625,-1.125,-0.5,
146017902849,-0.6875,0.125,-0.625,
146017925345,0.5,-0.0625,-0.4375,
