timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
6220314571,-5,20,-10,110,109,65,-5,3,
6220314571,3,8,-12,-102,-44,0,47,11,
6220319462,-6,-38,27,109,-75,-29,-73,-20,
6220319462,4,77,-11,92,-10,24,71,25,
6220335983,10,-4,32,-96,-128,-17,43,8,
6220335983,-25,-35,-3,127,127,2,-80,-33,
6220342624,8,11,-7,-128,-14,29,12,10,
6220342624,-6,-4,72,69,42,-15,-13,-8,
6220350872,-4,32,-105,-110,63,22,51,9,
6220350872,7,-27,33,-16,-122,-12,-13,-4,
6220364631,6,3,-13,106,77,-12,-10,2,
6220364631,10,45,57,-110,49,5,29,8,
6220372076,-19,-90,-82,75,13,-50,-53,-25,
6220372076,6,66,66,94,-103,7,54,17,
6220387180,-16,-37,-75,-113,116,34,-19,-18,
6220387180,-1,-9,-4,113,-41,6,-45,-4,
6220395835,14,47,127,-35,16,20,35,11,
6220395835,-23,-120,-128,20,-87,-95,-74,-23,
6220409444,10,52,100,-16,-108,17,26,15,
6220409444,-1,-15,4,11,127,57,17,1,
6220416927,0,77,59,126,-110,14,13,-1,
6220416927,6,-29,2,-72,127,12,-2,11,
6220434029,-13,-26,-64,97,19,-30,2,-5,
6220434029,10,18,-13,-32,-44,-21,16,7,
6220439505,-15,-105,-51,16,64,-31,-73,-25,
6220439505,7,127,127,86,-56,3,60,17,
6220454662,-4,-11,-67,-33,-108,3,48,3,
6220454662,-14,-105,-99,-110,79,47,-60,-25,
6220462092,18,39,83,62,-57,7,-18,6,
6220462092,7,-20,-26,-70,126,3,-12,1,
6220477211,-12,34,65,-127,47,-5,41,3,
6220477211,2,-49,-98,-11,-77,15,-21,-10,
6220491990,7,6,77,111,112,15,-32,-2,
6220491990,4,9,-25,-56,-4,-13,14,6,
6220502437,-20,-65,-102,-117,-69,-55,-27,-13,
6220502437,7,8,17,-4,111,60,-12,0,
6220514466,14,48,16,25,31,-18,27,10,
6220514466,-15,-21,39,-8,-10,14,-35,-19,
6220522023,-4,-28,-68,126,30,-5,-7,0,
6220522023,7,12,3,-100,-124,-20,28,7,
6220544880,9,33,-12,3,71,-31,33,14,
6220544880,-11,8,28,18,-77,70,32,-11,
6220559842,-11,-24,-19,47,127,19,-65,-32,
6220559842,12,-10,19,19,23,-60,-58,-2,
6220567120,17,20,11,-128,-12,24,-1,9,
6220567120,-3,31,-38,36,81,-13,31,11,
6220582042,9,-41,-7,-43,-24,-30,-5,4,
6220582042,1,19,-8,54,-62,14,-20,-3,
6220598363,0,56,114,38,-67,26,-12,-5,
6220598363,-2,-94,-57,20,111,-25,-15,-4,
6220619659,8,64,67,-70,-14,-43,26,12,
6220619659,2,-45,-77,-69,-87,15,-19,0,
6220634459,4,29,-5,98,80,-4,9,8,
6220634459,8,5,-22,-120,-55,19,42,12,
6220642020,-18,-32,33,127,-18,1,-24,-20,
6220642020,0,34,10,-54,-89,-18,7,4,
6220649833,-8,19,35,-113,-32,-53,8,3,
6220649833,1,51,44,9,-60,45,42,5,
6220672012,-3,-97,-117,-52,98,64,-66,-28,
6220672012,0,5,94,73,57,-9,-63,-13,
6220679526,11,68,31,65,-108,-20,48,16,
6220679526,-1,-13,-4,-50,-2,-27,5,5,
6220687193,-20,-73,-48,-69,-40,-13,-60,-29,
6220687193,-2,4,-10,110,5,-3,-35,-2,
6220701943,7,60,14,43,-102,-35,46,21,
6220701943,10,6,35,17,88,35,-6,-2,
6220709402,-14,-47,-23,19,65,-7,-24,-18,
6220709402,9,11,0,17,-83,28,8,2,
6220716930,-8,-111,-105,9,95,-12,-46,-11,
6220716930,-2,46,27,50,-85,-41,2,11,
6220724413,0,22,23,-112,-44,19,41,6,
6220724413,-10,-88,-120,-60,-12,-34,-64,-23,
6220739610,0,-27,10,49,73,12,-28,-3,
6220739610,2,17,20,-58,127,-7,-2,2,
6220754535,-4,18,-7,-13,36,-31,-29,-15,
6220754535,3,41,25,83,-33,19,21,10,
6220762008,-3,-50,-85,-100,122,-5,-1,5,
6220762008,1,40,72,71,45,-30,12,2,
6220776902,-2,6,8,-68,30,37,35,4,
6220776902,-7,-36,-34,-23,127,7,-69,-25,
6220784407,7,75,94,127,-128,7,21,9,
6220784407,1,-54,-27,-30,127,27,7,-2,
6220799366,2,46,29,34,12,-2,48,13,
6220799366,-39,-71,-52,-40,-128,-46,-4,-17,
6220822111,6,54,51,46,84,71,9,11,
6220822111,-2,-44,17,-74,-99,-10,-43,-13,
6220829351,-3,32,21,51,19,-2,-20,-7,
6220829351,1,-10,-64,22,-11,-10,12,8,
6220844510,0,28,-11,-21,45,-5,16,4,
6220844510,-7,-63,-59,-67,101,3,-15,-6,
6220851928,20,67,66,45,61,28,22,11,
6220851928,10,50,74,127,71,20,18,5,
6220866987,-7,-1,-36,-28,52,-9,27,1,
6220866987,16,23,-2,-80,-15,17,-11,4,
6220874492,17,11,73,20,70,0,22,4,
6220874492,-10,10,12,7,-44,27,18,-7,
6220881990,-16,-83,-89,-37,110,-3,-15,-14,
6220881990,-7,-16,-7,-80,-114,-28,-43,-12,
6220896944,7,29,28,84,-26,-27,-3,9,
6220896944,-1,-44,-73,3,-10,-12,-24,-2,
6220904540,5,-2,28,-9,35,9,-25,-5,
6220904540,10,127,127,127,1,58,92,20,
6220919434,16,11,-5,-94,-118,50,24,6,
6220919434,-44,-119,-95,-62,52,-37,-112,-52,
6220942185,31,109,127,96,47,43,18,24,
6220942185,-8,-35,-60,-95,1,-47,26,9,
6220949406,5,42,11,77,-99,-15,19,4,
6220949406,-12,-64,-70,-39,7,-18,-42,-15,
6220964550,4,27,20,48,-122,20,-4,5,
6220964550,1,-11,-7,37,106,5,14,0,
6220972084,-5,-35,-71,-69,2,5,-14,-4,
6220972084,9,80,127,79,70,10,34,6,
6220987034,-4,-25,24,-7,61,-11,-19,-1,
6220987034,14,56,15,19,3,-2,34,19,
6220994583,-9,15,44,-19,-60,23,28,-2,
6220994583,-2,13,-21,127,69,42,15,-7,
6221001833,-1,-8,13,-71,13,-26,-14,-5,
6221001833,4,-44,-21,87,50,21,-19,0,
6221016951,5,17,-12,-87,-49,-40,-13,-3,
6221016951,0,2,-42,-4,-128,-19,3,3,
6221024417,-12,-13,40,56,43,10,-17,-6,
6221024417,2,14,-41,-62,-74,-38,27,12,
6221039568,8,65,84,-74,-83,37,45,17,
6221039568,-33,-81,-60,-64,-40,-77,-70,-33,
6221054549,-1,59,69,79,45,-65,17,19,
6221054549,2,73,74,-128,46,56,61,9,
6221062146,-3,-25,99,127,95,35,-38,-31,
6221062146,-2,-22,-59,4,37,-17,-53,-9,
6221076924,7,-14,-29,97,-83,-7,-2,7,
6221076924,-9,29,-39,-94,-44,-26,35,2,
6221084584,11,5,-12,14,-74,-18,15,10,
6221084584,4,-22,-33,104,-63,11,8,3,
6221099396,-3,13,39,-114,-32,-39,-55,-8,
6221099396,12,60,88,29,-69,-3,25,10,
6221114458,-14,-51,-63,75,30,-28,5,2,
6221114458,10,30,52,-85,44,29,55,18,
6221122104,-17,7,0,84,-80,10,30,-13,
6221122104,2,-69,-37,-105,127,-33,-61,-9,
6221137104,15,62,127,109,-128,14,3,4,
6221137104,-11,-20,17,-8,82,28,26,-2,
6221144462,-9,-67,-128,-30,30,-58,-92,-19,
6221144462,15,19,56,6,52,50,-2,11,
6221159628,5,59,101,127,-94,-19,-11,7,
6221159628,-4,70,84,29,-81,48,79,10,
6221182105,-26,-107,-128,-128,100,-56,-82,-32,
6221182105,12,84,123,127,-113,4,0,13,
6221189556,7,-50,-90,-1,127,33,13,6,
6221189556,6,14,68,-15,81,17,-44,-14,
6221204551,18,46,3,44,33,-2,40,18,
6221204551,-13,-16,-54,-67,-51,-34,9,-4,
6221212207,-13,-65,-70,-36,-105,8,6,0,
6221212207,5,49,46,116,104,62,34,6,
6221227119,4,-42,-93,-13,58,-29,-27,-1,
6221227119,11,35,34,58,-72,13,35,15,
6221234416,-6,-26,-21,-11,-34,24,-2,4,
6221234416,-2,23,63,124,-35,-18,-18,-4,
6221242109,7,43,-52,-19,-56,24,48,12,
6221242109,2,26,60,-97,93,-3,22,-1,
6221257081,-16,-64,-122,5,-5,-52,-60,-18,
6221257081,10,-27,-7,-4,-60,12,-56,-4,
6221264419,3,71,127,100,127,44,21,9,
6221264419,3,35,-56,-111,-115,-20,53,8,
6221287115,-8,-39,-30,30,-97,-4,-13,-12,
6221287115,11,51,61,-1,35,9,9,9,
6221294411,-13,-66,-113,63,69,-9,-2,-9,
6221294411,-5,-43,-25,-92,-63,-3,-31,-8,
6221301852,6,100,127,22,-33,25,51,10,
6221301852,-6,-70,-118,-68,-43,-6,27,0,
6221309514,2,-24,44,-45,72,-23,-96,-21,
6221309514,7,37,86,88,-101,-15,-26,1,
6221332099,6,-8,-14,-29,73,2,6,6,
6221332099,-11,-11,-72,84,24,-32,19,5,
6221339341,3,82,94,-1,-57,59,89,15,
6221339341,-13,-55,-85,-128,104,-16,0,-15,
6221347059,-7,-5,37,112,42,26,-66,-22,
6221347059,1,27,77,127,127,13,-24,-8,
6221354618,-2,-18,-63,-128,-96,-43,-10,-2,
6221354618,0,13,-14,-11,79,-32,-22,2,
6221362101,21,100,106,-36,-102,16,112,33,
6221362101,-22,-128,-128,-49,103,-13,-66,-26,
6221369582,-1,41,81,102,99,-14,-63,-10,
6221369582,4,42,78,-84,-48,32,35,16,
6221376886,-5,-48,-59,74,31,3,-20,-16,
6221376886,14,68,16,-31,-21,-20,24,13,
6221392173,1,30,23,63,40,18,71,18,
6221392173,-15,-64,-95,22,-54,-20,-12,-14,
6221406927,-4,-7,-29,-96,72,46,-6,-5,
6221406927,8,18,61,61,37,18,-11,-3,
6221414391,-7,-44,-11,-69,-58,-68,-34,-11,
6221414391,-10,-87,-41,25,90,-19,-53,-8,
6221422121,13,85,64,-73,-29,-7,33,14,
6221422121,-2,-73,-108,20,40,24,-6,-7,
6221429389,-6,5,36,66,87,28,-28,-22,
6221429389,8,114,111,127,19,-7,98,27,
6221437202,-6,-91,-61,-98,-33,-10,14,1,
6221437202,-25,3,25,67,69,-17,-70,-26,
6221444638,9,-28,-41,-128,-72,-6,-28,2,
6221444638,-2,72,51,127,-6,4,15,5,
6221466932,22,9,30,-99,107,27,40,18,
6221466932,-20,-5,12,-24,-104,-31,-46,-23,
6221474399,5,44,85,86,-99,-8,1,3,
6221474399,3,-58,-73,10,71,38,-12,-7,
6221481883,1,-9,-41,5,50,-29,-18,2,
6221481883,4,39,101,-77,-36,20,19,7,
6221489356,-6,-6,-37,-38,119,-19,30,2,
6221489356,-9,4,-56,25,-128,-38,-1,-1,
6221504395,6,55,98,127,68,64,16,-3,
6221504395,0,-51,-84,-128,117,-24,-10,1,
6221519333,1,-51,-108,-40,-113,-50,-50,-5,
6221519333,-1,76,92,123,-32,12,21,0,
6221526877,-10,-29,6,-22,-48,12,51,2,
6221526877,-5,12,-31,-97,118,-15,-6,-12,
6221534352,-5,-18,89,56,-67,22,-7,-13,
6221534352,-5,-12,-60,65,52,9,-38,-12,
6221541818,4,38,31,77,88,-2,21,16,
6221541818,-1,-34,-61,-109,-74,-14,-9,-2,
6221556819,-8,-25,16,18,-36,-26,-26,-3,
6221556819,21,98,80,57,-128,23,81,25,
6221564347,-25,-128,-117,-35,118,-23,-41,-21,
6221564347,3,-11,2,99,-29,28,-43,-3,
6221579333,-5,99,123,20,111,-37,41,3,
6221579333,12,-90,-114,-97,-111,13,4,5,
6221586858,-11,-3,-6,42,69,31,-46,-25,
6221586858,12,45,47,46,52,-25,25,19,
6221594283,-11,-35,-51,-36,-10,8,-8,-5,
6221594283,-4,-10,-2,-36,127,5,-20,-6,
6221601816,11,127,76,30,-128,-3,66,17,
6221601816,5,-91,-72,-119,118,-8,3,3,
6221616823,-12,75,93,127,-94,10,-47,-23,
6221616823,2,-53,-1,-47,93,-30,20,5,
6221624294,9,-1,11,-78,28,4,-52,-5,
6221624294,1,-10,17,65,-101,-23,-1,0,
6221639461,-11,-35,-107,-39,47,23,-15,-2,
6221639461,4,110,127,69,-22,43,87,17,
6221646855,-9,-57,-66,-98,-48,-5,12,-9,
6221646855,-5,7,79,121,-2,-8,-88,-29,
6221662045,-20,59,97,-100,111,-72,-64,-13,
6221662045,12,100,48,19,-128,35,79,21,
